Date,rate_086520_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Rolling_Divergence_240,is_uptrend,Wave_Stage,Elliott_Factor,EMA_Max_Divergence,Normalized_Max_Divergence
2022-11-23 00:00:00,667.8,72.78,595.02,64.61,-8.61,928.54,36.67,,,,,,,,,
2023-01-27 00:00:00,661.51,73.47,588.04,63.87,4.12,928.54,4.55,,,,,,,,,
2023-03-28 00:00:00,2240.22,68.4,2171.82,94.99,-5.01,2287.13,3.36,,,,,,,,,
2023-05-26 00:00:00,2768.52,77.98,2690.54,69.7,-8.01,3866.07,65.48,,,,,,,,,
2023-07-27 00:00:00,4967.16,90.93,4876.23,75.98,-13.74,6422.56,85.68,,,,,,,,,
2023-09-25 00:00:00,4396.26,82.17,4314.09,67.24,-29.58,6422.56,164.84,,,,,,,,,
2023-11-28 00:00:00,3521.03,90.24,3430.79,53.52,3.26,6422.56,70.08,,,,,,,,,
2024-01-29 00:00:00,2560.06,104.49,2455.57,38.37,-9.57,6422.56,105.56,,,,,,,,,
2024-04-01 00:00:00,3067.51,115.81,2951.7,46.07,0.67,6422.56,197.5,,,,,,,,,
2024-06-03 00:00:00,461.68,117.01,344.67,5.57,-1.18,6422.56,312.75,,,,,,,,,
2024-08-01 00:00:00,458.86,122.06,336.8,5.45,-0.21,6422.56,126.38,,,,,,,,,
2024-10-07 00:00:00,418.49,131.04,287.45,4.68,-0.04,6422.56,174.15,,,,,,,,,
2024-10-10 00:00:00,408.45,134.11,274.34,4.48,-0.3,6422.56,85.62,89018.33,104184.17,371448.33,1792.8062083333332,False,wave_B,0.05,6422.56,1.0
