Date,rate_JBHT_5D,rate_VOO_20D
2016-01,3.3504,0.7475
2016-02,7.1329,0.3631
2016-03,14.9452,6.1635
2016-04,9.1526,4.8532
2016-05,7.7163,5.5092
2016-06,4.343,4.9516
2016-07,6.48,8.0529
2016-08,1.1759,7.2728
2016-09,2.9604,6.525
2016-10,3.2118,4.0384
2016-11,20.4503,7.3996
2016-12,20.8613,9.0221
2017-01,21.657,10.0556
2017-02,19.3982,13.4646
2017-03,10.8717,12.6934
2017-04,7.6571,13.0265
2017-05,2.4255,13.8264
2017-06,9.3988,13.7461
2017-07,8.0046,15.2839
2017-08,17.3212,14.8547
2017-09,30.8447,16.4705
2017-10,24.0989,18.391
2017-11,28.9367,21.1572
2017-12,32.2398,21.8357
2018-01,37.5853,27.5767
2018-02,28.9471,19.4887
2018-03,24.2169,15.9328
2018-04,21.4098,14.9578
2018-05,31.904,17.1859
2018-06,24.1485,17.444
2018-07,21.707,20.9505
2018-08,22.0521,24.1299
2018-09,19.5081,24.1209
2018-10,12.3126,14.1084
2018-11,7.6893,15.0224
2018-12,-5.8637,4.4886
2019-01,8.4519,12.5608
2019-02,9.0971,15.8612
2019-03,0.7835,17.612
2019-04,-7.6491,21.8639
2019-05,-16.4116,16.0646
2019-06,-9.9599,19.9808
2019-07,1.0717,21.2252
2019-08,-0.7351,18.3328
2019-09,2.3869,20.1882
2019-10,5.0426,20.3259
2019-11,3.3728,24.2116
2019-12,4.3307,27.349
2020-01,-3.6652,26.2815
2020-02,-8.5164,19.8213
2020-03,-9.7973,15.7478
2020-04,-0.898,30.3559
2020-05,9.5575,35.9447
2020-06,4.4533,35.2146
2020-07,7.9981,39.5903
2020-08,17.243,48.5304
2020-09,12.5484,40.6583
2020-10,3.3777,35.284
2020-11,11.6926,43.8758
2020-12,11.9161,48.4488
2021-01,8.1846,45.6177
2021-02,10.0944,42.6536
2021-03,25.7117,44.2697
2021-04,27.2562,51.1309
2021-05,27.0505,46.9645
2021-06,24.8752,49.5312
2021-07,28.5668,52.4159
2021-08,35.1873,56.1018
2021-09,29.9506,48.0813
2021-10,48.9556,56.0144
2021-11,45.2529,53.5374
2021-12,42.3895,55.8343
2022-01,34.5565,46.4571
2022-02,40.1681,38.1483
2022-03,37.7106,42.2675
2022-04,29.3855,34.5494
2022-05,30.549,36.0289
2022-06,20.0656,21.1749
2022-07,36.6153,31.8752
2022-08,29.5788,26.0562
2022-09,18.6681,14.2993
2022-10,22.9058,23.2183
2022-11,27.2014,29.7022
2022-12,21.2015,24.5108
2023-01,27.4253,29.2932
2023-02,26.9867,25.9536
2023-03,27.4476,29.4041
2023-04,27.1858,31.1074
2023-05,22.6043,31.3785
2023-06,29.3902,39.5074
2023-07,45.3724,43.6112
2023-08,40.4515,39.288
2023-09,38.1822,32.2789
2023-10,28.6909,29.0551
2023-11,36.5862,40.4823
2023-12,46.8016,46.4584
2024-01,47.1881,48.2956
2024-02,47.018,55.4714
2024-03,44.6114,59.9707
2024-04,28.9339,54.3559
2024-05,24.8428,58.7198
2024-06,24.0193,63.7565
2024-07,33.9566,62.4775
2024-08,28.4795,65.2821
2024-09,23.5229,63.7333
2024-10,22.3083,61.5953
2024-11,25.238,70.4058
2024-12,21.2826,65.7986
2025-01,18.5064,69.6123
2025-02,11.2878,66.3646
2025-03,2.243,60.3871
2025-04,-5.692,59.1236
2025-05,0.6227,68.5307
2025-06,4.0173,76.5585
2025-07,5.6934,79.9077
2025-08,6.3677,82.9229
2025-09,-0.5487,88.6543
2025-10,25.689,92.3724
2025-11,29.5782,92.0168
2025-12,44.4425,91.3981
2026-01,52.5303,92.8862
