Date,rate_TMUS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.0477,-0.6039
2016-03,-4.5245,5.2168
2016-04,-1.7603,3.9893
2016-05,6.7854,4.6886
2016-06,6.8832,4.1237
2016-07,13.4209,7.1795
2016-08,11.4898,6.3603
2016-09,11.0796,5.6281
2016-10,16.9583,3.196
2016-11,25.8373,6.7601
2016-12,31.1435,8.3626
2017-01,41.9725,10.2536
2017-02,39.1611,13.6522
2017-03,40.8378,12.7005
2017-04,43.9048,12.9818
2017-05,41.3453,13.693
2017-06,24.841,13.5288
2017-07,25.604,15.0481
2017-08,30.2432,14.5515
2017-09,22.694,16.1037
2017-10,17.8738,17.9557
2017-11,19.582,20.6805
2017-12,23.4627,21.3029
2018-01,26.5529,28.0338
2018-02,16.8652,22.1441
2018-03,16.9104,18.3021
2018-04,15.3243,18.0902
2018-05,5.6848,20.2208
2018-06,13.0451,20.3415
2018-07,13.039,23.8746
2018-08,23.9589,27.0072
2018-09,31.7283,27.7347
2018-10,27.6519,18.1437
2018-11,26.5736,19.7418
2018-12,16.8944,8.5778
2019-01,27.931,17.1263
2019-02,31.8177,20.3748
2019-03,25.2554,22.0514
2019-04,31.5084,26.2651
2019-05,31.4257,17.5943
2019-06,31.8035,25.308
2019-07,40.8366,26.4355
2019-08,36.8723,23.7232
2019-09,38.1341,26.1617
2019-10,43.984,28.2707
2019-11,35.8259,32.1761
2019-12,34.7851,35.3247
2020-01,36.1085,35.2749
2020-02,53.9934,23.5454
2020-03,42.1054,7.7105
2020-04,47.7041,21.425
2020-05,67.1624,26.7132
2020-06,72.5671,28.4357
2020-07,76.3398,35.3124
2020-08,89.9342,43.9511
2020-09,84.4173,37.6938
2020-10,75.1054,33.4637
2020-11,110.7043,47.2943
2020-12,111.6312,51.8455
2021-01,97.8752,50.305
2021-02,86.554,53.4604
2021-03,93.1467,59.4101
2021-04,101.9224,66.6882
2021-05,114.274,66.6274
2021-06,117.3958,69.2184
2021-07,114.2205,72.1455
2021-08,102.0132,75.992
2021-09,86.8203,66.6118
2021-10,66.9783,77.1553
2021-11,56.9415,74.6519
2021-12,66.3677,81.397
2022-01,54.2403,70.7122
2022-02,74.7302,64.6001
2022-03,80.8663,69.8532
2022-04,72.3768,54.0273
2022-05,85.4069,53.6333
2022-06,85.9092,40.2902
2022-07,96.3786,52.5094
2022-08,96.2712,45.531
2022-09,81.7076,31.5965
2022-10,103.9629,41.7445
2022-11,102.4497,48.9584
2022-12,85.8986,39.838
2023-01,98.2555,48.5632
2023-02,87.5802,44.2258
2023-03,89.9618,48.9578
2023-04,87.593,50.6836
2023-05,77.8992,50.7741
2023-06,79.0531,59.884
2023-07,76.6426,64.3798
2023-08,73.7907,60.953
2023-09,77.7274,52.6248
2023-10,81.6311,48.7132
2023-11,89.7649,61.6976
2023-12,101.0965,68.3392
2024-01,102.2245,71.0275
2024-02,104.4512,79.0476
2024-03,103.1803,83.99
2024-04,103.2202,75.7344
2024-05,116.1605,83.6813
2024-06,116.4205,89.2836
2024-07,122.6051,90.5002
2024-08,142.0202,94.0822
2024-09,151.2928,98.2932
2024-10,170.0279,95.412
2024-11,197.9115,105.8418
2024-12,164.5008,99.9875
2025-01,179.1638,105.351
2025-02,222.0687,101.7087
2025-03,216.2852,89.4719
2025-04,190.8692,87.0451
2025-05,184.4665,97.8575
2025-06,178.0595,107.0685
2025-07,176.5042,110.7404
2025-08,191.4867,114.0337
2025-09,176.9552,121.6081
2025-10,141.5983,125.7153
2025-11,140.2788,125.0226
2025-12,132.1711,124.0393
2026-01,112.987,128.5087
