Date,rate_AMC_5D,rate_VOO_20D
2015-01,0.7007,-3.5197
2015-02,21.6394,1.8044
2015-03,21.119,-0.0031
2015-04,2.3972,0.6582
2015-05,-1.3368,1.4146
2015-06,6.6398,-0.516
2015-07,11.1421,1.3304
2015-08,-2.3071,-4.829
2015-09,-12.0904,-6.1228
2015-10,-5.9131,2.1368
2015-11,-12.2624,2.2508
2015-12,-15.0403,-0.7698
2016-01,-21.6143,-5.1087
2016-02,-11.9421,-4.9945
2016-03,4.6162,2.077
2016-04,5.011,2.2452
2016-05,6.4751,3.8
2016-06,3.4648,4.3147
2016-07,9.9102,7.8708
2016-08,13.0392,7.6189
2016-09,16.2949,7.5735
2016-10,16.714,5.3234
2016-11,25.0949,8.9495
2016-12,24.2215,11.3964
2017-01,23.5029,12.8026
2017-02,14.15,16.5977
2017-03,15.5029,16.5388
2017-04,10.7067,17.1241
2017-05,-17.1953,18.161
2017-06,-15.1466,18.7033
2017-07,-23.5236,20.4948
2017-08,-49.2526,20.1994
2017-09,-41.3705,22.5091
2017-10,-43.6556,24.6677
2017-11,-40.6804,27.7179
2017-12,-34.3263,29.0685
2018-01,-43.1394,35.396
2018-02,-32.609,26.9229
2018-03,-34.5605,23.6572
2018-04,-17.976,22.7301
2018-05,-29.6837,25.1198
2018-06,-22.2699,25.8899
2018-07,-19.9319,29.6764
2018-08,-6.0572,33.1231
2018-09,17.6642,33.6259
2018-10,11.437,26.1165
2018-11,-1.3744,27.1982
2018-12,-11.9012,15.9173
2019-01,0.5752,24.7233
2019-02,-3.6283,28.2547
2019-03,4.2671,30.6683
2019-04,6.1661,35.3003
2019-05,-15.7982,26.2259
2019-06,-32.0136,34.9077
2019-07,-13.1139,36.2153
2019-08,-18.1096,33.3823
2019-09,-18.6192,35.9202
2019-10,-28.3135,38.2379
2019-11,-34.3957,42.5558
2019-12,-41.587,46.5754
2020-01,-46.806,45.7586
2020-02,-49.2041,33.2755
2020-03,-56.8377,19.141
2020-04,-40.8727,34.7484
2020-05,-37.579,40.6205
2020-06,-41.1072,43.116
2020-07,-43.0184,50.7796
2020-08,-16.2131,60.4647
2020-09,-32.7294,54.114
2020-10,-65.3339,49.4304
2020-11,-49.4357,60.0664
2020-12,-74.5259,65.6694
2021-01,65.2355,62.5841
2021-02,-0.6722,61.206
2021-03,26.3872,68.1098
2021-04,23.6685,76.0477
2021-05,220.9439,71.8332
2021-06,588.8642,75.2153
2021-07,345.5834,78.5219
2021-08,461.8343,82.7653
2021-09,349.3211,73.7144
2021-10,313.5952,84.9315
2021-11,317.4437,82.5507
2021-12,255.2422,85.108
2022-01,108.1211,74.4822
2022-02,143.0553,66.0339
2022-03,186.0134,71.1823
2022-04,106.2778,61.0689
2022-05,116.5783,64.0634
2022-06,103.5459,45.415
2022-07,117.5085,58.2127
2022-08,32.0613,54.5835
2022-09,-6.2647,48.8478
2022-10,-16.6869,54.573
2022-11,-9.2738,62.484
2022-12,-34.131,54.6459
2023-01,-23.758,61.6847
2023-02,-11.9745,57.289
2023-03,-32.0827,61.4581
2023-04,-33.4854,63.3951
2023-05,-40.8617,63.5422
2023-06,-44.0553,73.9848
2023-07,-36.3451,78.9586
2023-08,-64.2483,73.6879
2023-09,-66.5556,65.2468
2023-10,-54.4905,61.0426
2023-11,-68.1722,75.1359
2023-12,-72.2804,82.9538
2024-01,-81.2218,80.0638
2024-02,-79.1949,88.6459
2024-03,-80.1158,94.4294
2024-04,-82.1705,87.4901
2024-05,-73.0847,92.8063
2024-06,-73.9739,99.3222
2024-07,-74.3151,97.6545
2024-08,-74.4873,102.2952
2024-09,-75.7799,99.3244
2024-10,-75.0491,96.6174
2024-11,-71.1848,101.2943
2024-12,-74.7089,94.8735
2025-01,-79.2766,95.6692
2025-02,-77.5826,91.8635
2025-03,-79.8308,86.0661
2025-04,-80.934,84.0006
