Date,rate_VTR_5D,rate_VOO_20D
2016-01,-2.485,-3.28
2016-02,-1.1353,-2.376
2016-03,12.3778,4.071
2016-04,8.3692,3.4463
2016-05,13.9972,4.5141
2016-06,24.0114,4.1644
2016-07,26.4431,7.3333
2016-08,17.8243,6.6525
2016-09,14.0056,6.013
2016-10,8.3548,3.6115
2016-11,-3.6203,7.182
2016-12,1.5028,8.8567
2017-01,0.0696,10.0774
2017-02,5.6286,13.6125
2017-03,6.5853,12.8284
2017-04,4.5118,13.2286
2017-05,8.2747,14.0432
2017-06,13.8726,13.9758
2017-07,9.6767,15.5728
2017-08,11.072,15.1519
2017-09,6.4802,16.7674
2017-10,2.4404,18.6971
2017-11,4.3593,21.4906
2017-12,-1.05,22.1742
2018-01,-7.6141,28.0253
2018-02,-19.8307,22.3109
2018-03,-15.891,18.5822
2018-04,-12.1294,18.439
2018-05,-6.269,20.6342
2018-06,-0.8213,20.8295
2018-07,-1.7829,24.4195
2018-08,4.2966,27.64
2018-09,-3.9282,27.5571
2018-10,2.6502,18.148
2018-11,12.1563,19.8158
2018-12,4.6314,8.7803
2019-01,15.1013,17.0692
2019-02,11.6777,20.3898
2019-03,14.6747,22.1512
2019-04,9.5292,26.4471
2019-05,14.9758,17.8766
2019-06,23.2262,25.6026
2019-07,20.8213,26.8029
2019-08,31.2037,24.165
2019-09,31.2574,26.0707
2019-10,16.486,28.2682
2019-11,4.124,32.2632
2019-12,4.4511,35.5066
2020-01,4.6521,34.7146
2020-02,-2.795,23.2206
2020-03,-49.8084,7.5857
2020-04,-37.7262,21.2139
2020-05,-31.881,26.5664
2020-06,-27.1973,28.3643
2020-07,-23.3825,35.3077
2020-08,-17.2575,44.0007
2020-09,-14.5853,37.8818
2020-10,-19.4809,33.7409
2020-11,-2.0548,47.6567
2020-12,1.1894,52.3191
2021-01,-4.8222,49.9619
2021-02,9.2441,53.2489
2021-03,10.9301,59.3139
2021-04,15.0884,66.7128
2021-05,14.8271,66.7978
2021-06,18.8803,69.5264
2021-07,24.135,72.593
2021-08,15.8781,76.58
2021-09,15.0609,67.3306
2021-10,10.9976,78.0118
2021-11,-2.5269,75.6346
2021-12,7.1555,82.5203
2022-01,10.9758,71.9304
2022-02,12.8833,65.8784
2022-03,29.785,71.2418
2022-04,16.4035,55.3862
2022-05,18.6678,55.0693
2022-06,8.3347,41.677
2022-07,13.0911,54.0588
2022-08,0.5673,47.0803
2022-09,-14.5818,33.1115
2022-10,-16.635,43.3799
2022-11,-0.7073,50.707
2022-12,-2.8822,41.5455
2023-01,11.627,49.9054
2023-02,4.7299,45.6128
2023-03,-5.6808,50.431
2023-04,4.5938,52.2262
2023-05,-6.0813,52.3734
2023-06,3.8962,61.6123
2023-07,6.5381,66.208
2023-08,-4.1035,62.8182
2023-09,-6.4487,54.4786
2023-10,-5.6179,50.5707
2023-11,1.9077,63.7242
2023-12,11.7075,70.5007
2024-01,3.8699,72.5028
2024-02,-5.3147,80.6678
2024-03,-1.515,85.7322
2024-04,0.1926,77.499
2024-05,13.6619,85.5862
2024-06,15.7822,91.319
2024-07,23.8461,92.6342
2024-08,40.9458,96.3435
2024-09,45.109,99.6776
2024-10,48.7733,96.8805
2024-11,45.1352,107.4927
2024-12,34.0987,101.7132
2025-01,37.2775,106.1747
2025-02,56.7053,102.6383
2025-03,56.3193,90.4787
2025-04,58.7821,88.1311
2025-05,45.2661,99.0692
2025-06,43.415,108.4087
2025-07,52.1393,112.1972
2025-08,53.7148,115.6241
2025-09,58.623,122.2463
2025-10,66.671,126.4867
2025-11,81.4614,125.9202
2025-12,74.5982,125.0582
2026-01,73.1082,126.4133
