Date,rate_MSFT_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2019-01-07 00:00:00,-0.25,-0.25,0.0,100.0,0.0,0.0,0.0
2019-02-05 00:00:00,3.83,5.22,-1.39,54.56,-45.44,1.05,0.48
2019-03-06 00:00:00,8.13,6.73,1.4,100.0,45.44,1.4,0.0
2019-04-03 00:00:00,15.92,10.06,5.86,91.14,-8.86,6.85,0.61
2019-05-02 00:00:00,21.72,11.78,9.94,81.25,-9.89,13.23,2.48
2019-05-31 00:00:00,19.27,5.68,13.59,97.02,15.77,14.14,0.42
2019-06-28 00:00:00,28.98,12.39,16.59,87.89,-9.13,19.47,2.36
2019-07-29 00:00:00,35.47,15.47,20.0,99.63,11.74,20.09,0.07
2019-08-26 00:00:00,29.83,10.2,19.63,94.14,-5.49,21.12,1.24
2019-09-24 00:00:00,31.38,13.61,17.77,86.83,-7.31,21.12,2.78
2019-10-22 00:00:00,30.14,14.19,15.95,79.68,-7.15,21.12,4.29
2019-11-19 00:00:00,43.14,18.94,24.2,100.0,20.32,24.2,0.0
2019-12-18 00:00:00,46.53,21.71,24.82,96.24,-3.76,25.96,0.98
2020-01-17 00:00:00,58.11,26.23,31.88,100.0,3.76,31.88,0.0
2020-02-18 00:00:00,76.5,27.81,48.69,96.07,-3.93,50.86,2.0
2020-03-17 00:00:00,37.79,-3.82,41.61,83.24,-12.83,50.86,8.52
2020-04-15 00:00:00,61.12,5.44,55.68,100.0,16.76,55.68,0.0
2020-05-13 00:00:00,67.91,6.82,61.09,96.5,-3.5,63.46,2.22
2020-06-11 00:00:00,73.37,13.92,59.45,94.08,-2.42,63.46,3.76
2020-07-10 00:00:00,98.04,20.13,77.91,97.87,3.79,79.7,1.7
2020-08-07 00:00:00,96.12,26.3,69.82,88.24,-9.63,79.7,9.37
2020-09-04 00:00:00,96.9,29.08,67.82,85.86,-2.38,79.7,11.27
2020-10-05 00:00:00,92.58,27.74,64.84,82.31,-3.55,79.7,14.1
2020-11-02 00:00:00,84.53,23.96,60.57,77.23,-5.08,79.7,18.15
2020-12-01 00:00:00,96.36,37.08,59.28,75.7,-1.53,79.7,19.37
