Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Penalty,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend
1,NVDA,Semiconductors,3710.5,97.9,7.9,8.0,9.0,7.4,14.0,31.5,113.1,438.5,1143.8,3710.5,3723.3,-12.1,1.1,2973.4,2853.489306070436,3855.5,1.0,1.0,4.44,14.84,0,8.815823888925934,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,
2,BNB-USD,Cryptocurrency,2258.7,40.3,1.3,1.0,-4.5,-17.8,-23.2,-22.5,7.3,4.8,747.9,2258.7,5605.5,-25.2,1.3,6977.5,3664.416290336215,2369.6,3.0,3.0,20.04,29.04,0,-1335.5837096637852,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,
3,QUBT,Quantum Computing,855.4,10.7,0.4,16.9,9.4,-7.0,-24.9,353.2,491.9,362.4,262.1,855.4,9187.6,-139.9,1.6,11488.8,5000.0,1000.4,21.0,22.0,20.73,30.53,0,0.0,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,
4,TRX-USD,Cryptocurrency,863.2,13.1,0.1,1.3,8.8,10.8,4.8,40.4,95.7,176.5,520.2,863.2,6637.4,-26.9,1.2,5754.9,1476.3115860828675,974.2,22.0,20.0,8.21,31.41,0,-0.6021555995530434,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,
5,BTC-USD,Cryptocurrency,2013.8,56.9,-0.9,1.0,2.0,-9.2,-26.8,-25.8,0.9,30.1,159.5,2013.8,3326.6,-9.6,1.2,4405.4,1670.2816106528796,2159.0,4.0,5.0,16.43,31.83,4,1289.2848174920623,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,
6,AVGO,Semiconductors,1308.3,99.7,2.0,12.1,18.6,14.5,27.9,77.0,151.3,360.2,656.8,1308.3,1310.8,-16.4,1.2,903.5,298.20894914401987,1453.3,11.0,11.0,0.0,35.2,-1,54.45853910263091,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,
7,RGTI,Quantum Computing,720.4,27.9,2.1,16.8,8.1,-11.9,2.8,521.5,842.6,732.3,,720.4,2754.1,-93.0,1.5,2837.6,1581.113748597492,780.2,32.0,28.0,12.7,39.3,0,-10.91061050513099,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,
8,KLAC,Semiconductor Equipment,1011.7,94.4,8.3,8.2,13.9,28.7,61.7,94.3,127.5,224.6,437.1,1011.7,1070.1,-14.1,1.2,569.1,511.1554741821514,1156.7,17.0,18.0,4.44,39.84,-2,-1.648405549092388,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,
9,APP,Software,819.4,53.7,0.8,3.9,0.1,-15.2,-9.0,102.7,459.3,824.3,,819.4,1542.2,-55.4,1.3,1705.3,1343.4755929583282,879.2,24.0,23.0,12.9,40.3,-1,-68.82875591444508,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,
10,SMCI,Computer Hardware,720.8,20.3,5.6,36.3,22.3,8.4,-13.8,-30.3,-34.6,194.5,477.8,720.8,3831.2,-73.1,1.4,4410.0,4778.450987521689,865.8,25.0,27.0,27.33,44.33,1,417.77599603160616,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,
