Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return
1,NVDA,Technology,3222.7,85.1,0.8,2.2,1.8,-0.5,11.2,25.9,119.1,404.6,1068.3,3222.7,3723.3,-12.1,1.1,3342.4,773.6,3349.8,1.0,1.0,10.0,35.0,3,19.4,0,-14.100000000000023
2,AVGO,Technology,1029.1,78.6,2.8,7.0,0.7,1.1,19.9,56.2,125.6,287.5,532.4,1029.1,1310.8,-16.4,1.2,1070.9,227.1,1156.1,6.0,6.0,28.0,68.0,-10,25.2,2,-54.599999999999994
3,BTC-USD,Coin,1801.3,51.1,-0.5,-0.9,-10.2,-23.0,-32.7,-29.1,1.3,19.4,169.4,1801.3,3326.6,-9.6,1.2,5166.5,2059.7,1928.4,4.0,4.0,8.0,18.0,17,27.4,-1,103.79999999999973
4,AXON,Industrials,618.6,50.6,-5.0,5.4,1.1,-12.1,-22.0,-3.4,24.9,90.9,195.4,618.6,1246.3,-25.7,1.3,1724.8,623.5,745.6,27.0,30.0,15.0,41.0,-1,29.8,-1,121.30000000000001
5,TRX-USD,Coin,697.0,10.7,0.0,2.6,2.2,-4.8,-5.7,27.9,77.5,137.3,427.2,697.0,6637.4,-26.9,1.2,6956.9,4248.6,792.5,21.0,19.0,6.0,10.0,26,39.2,0,-81.5
6,BNB-USD,Coin,2228.6,39.8,0.9,-4.8,-14.1,-23.7,-20.1,-16.6,14.6,12.8,830.9,2228.6,5605.5,-25.2,1.3,7292.6,3473.7,2324.0,2.0,2.0,5.0,15.0,37,44.8,0,-133.5
7,TSLA,Consumer Cyclical,804.2,53.9,-1.0,-2.3,-5.5,-5.0,5.9,25.0,23.0,8.5,314.7,804.2,1535.1,-50.2,1.2,1480.6,515.6,931.2,9.0,11.0,19.0,47.0,21,47.6,1,18.200000000000045
8,SMCI,Theme (User Picks),653.0,18.6,-0.3,5.4,3.9,-13.3,-24.7,-40.4,-28.7,192.8,454.7,653.0,3831.2,-73.1,1.3,5036.2,5647.4,780.0,25.0,27.0,9.0,9.0,32,47.8,1,-369.60000000000036
9,QUBT,Theme (User Picks),656.7,8.5,-0.2,-12.1,-19.9,-36.1,-35.2,319.1,392.5,263.6,180.8,656.7,9187.6,-139.9,1.6,15222.0,6067.5,783.7,24.0,26.0,4.0,8.0,34,48.0,-2,356.89999999999964
10,FIX,Industrials,2108.1,93.1,2.6,10.7,28.6,44.8,116.0,187.9,339.1,759.7,1366.2,2108.1,2230.0,-40.0,1.2,1054.0,154.4,2235.2,3.0,3.0,29.0,87.0,10,51.8,0,4.400000000000006
