Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
1,AVGO,Semiconductors,1468.9,99.6,-0.4,6.9,22.9,24.0,33.6,87.8,165.5,400.3,728.6,1468.9,1473.1,-16.4,1.2,937.0,150.06205898210328,1618.2,11.0,11.0,11.0,11.0,0.0,0.0,33.05,33.05,15,-12.55662488736894,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,11.0,11.0,11.0,11.0,0.0,0.0,62.0,0.0,0.0,-6.0,0.0,33.05,33.05,,,,,,,495.0,-3.19,False
2,KLAC,Semiconductor Equipment,1169.0,100.0,5.6,14.3,20.7,37.0,70.1,115.1,150.9,264.7,498.5,1169.0,1166.5,-14.1,1.2,573.8,89.6,1318.3,16.0,16.0,16.0,16.0,4.44,4.44,42.59,42.59,5,-11.761386436244479,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,16.0,16.0,16.0,16.0,4.44,4.44,39.0,0.0,0.0,-6.0,0.0,42.59,42.59,,,,,,,2145.4651,-0.95,False
3,SMCI,Computer Hardware,1036.0,28.4,0.7,36.0,51.0,48.6,17.2,2.3,-9.2,293.7,679.7,1036.0,3831.2,-73.1,1.4,3155.8,2852.1208403708547,1185.3,20.0,20.0,21.0,21.0,23.33,23.33,44.68,44.68,1,-766.7730535000933,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,20.0,20.0,21.0,21.0,23.33,23.33,35.0,0.0,0.0,0.0,0.0,44.68,44.68,,,,,,,58.78,-19.33,False
4,NVDA,Semiconductors,3667.3,89.8,0.9,-0.1,4.6,4.9,6.6,24.1,94.5,413.3,1083.8,3667.3,4013.4,-12.1,1.1,3314.7,738.9089458274068,3816.6,1.0,1.0,1.0,1.0,4.93,4.93,51.28,51.28,2,16.45897284892328,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,4.93,4.93,138.0,0.0,0.0,25.0,-12.0,51.28,51.28,,,,,,,236.54,-9.21,False
5,LRCX,Semiconductor Equipment,1231.9,100.0,1.9,19.1,28.8,50.7,122.1,208.7,240.9,343.3,522.0,1231.9,1218.7,-7.6,1.3,456.7,56.4,1381.2,14.0,14.0,15.0,15.0,11.44,11.44,51.29,51.29,8,-1.9496074155213066,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,14.0,14.0,15.0,15.0,11.44,11.44,21.0,0.0,0.0,-6.0,0.0,51.29,51.29,,,,,,,346.18,-0.71,False
6,DELL,Computer Hardware & Services,1073.9,88.8,-11.2,43.3,98.6,155.3,179.1,210.8,284.1,483.6,725.8,1073.9,1206.8,-23.7,1.6,270.0,60.13985659705035,1210.9,18.0,18.0,19.0,19.0,5.0,5.0,52.6,52.6,5,13.939856597050344,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,18.0,18.0,19.0,19.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,52.6,52.6,,,,,,,469.47,-10.31,False
7,MPWR,Semiconductors,694.8,100.0,8.5,6.1,21.5,39.2,62.8,86.8,102.7,146.0,275.4,694.8,693.2,-5.3,1.4,322.5,57.8,844.1,33.0,33.0,34.0,34.0,0.0,0.0,52.8,52.8,1,-4.6176928469762615,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,33.0,33.0,34.0,34.0,0.0,0.0,41.0,0.0,0.0,-6.0,0.0,52.8,52.8,,,,,,,1714.0898,-1.41,False
8,AMD,Semiconductors,2340.7,100.0,0.4,26.3,89.1,107.8,163.0,224.1,230.7,297.7,449.1,2340.7,2340.5,-27.9,1.5,754.8,133.3,2490.0,4.0,4.0,4.0,4.0,15.89,15.89,57.19,57.19,-7,0.30000000000001137,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,4.0,4.0,4.0,4.0,15.89,15.89,6.0,0.0,0.0,12.0,0.0,57.19,57.19,,,,,,,546.44,-0.72,False
9,JBL,Electronic Manufacturing Services,693.5,98.7,4.4,5.9,17.3,35.0,49.0,102.3,117.8,234.7,417.3,693.5,653.4,-28.8,1.1,331.6,48.8218807123667,842.8,34.0,34.0,35.0,35.0,0.0,0.0,57.3,57.3,6,-5.044598054572532,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,34.0,34.0,35.0,35.0,0.0,0.0,50.0,0.0,0.0,-6.0,0.0,57.3,57.3,,,,,,,384.7,-1.47,False
10,SMH,Unknown,667.6,100.0,1.1,13.0,30.2,43.8,69.4,101.4,136.7,218.4,334.0,667.6,667.5,-5.3,1.2,284.3,46.6,816.9,37.0,37.0,37.0,37.0,0.0,0.0,57.85,57.85,12,-0.4881835322751087,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,37.0,37.0,37.0,37.0,0.0,0.0,34.0,0.0,0.0,-6.0,0.0,57.85,57.85,,,,,,,642.77,-0.76,False
