Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Period_Penalty,Alpha_Penalty,Penalty_Raw,Penalty,Penalty_N,Penalty_Rank,IsCrypto,Penalty_N2,Average_Rank
1,RKLB,Industrials,375.6,87.9,-11.3,72.2,43.0,55.2,123.7,637.9,864.1,810.3,805.8,805.8,433.1,-43.3,1.66,0.15,0.15,422.6212248673006,11.0,11.0,20.0,20.0,6.36,0.0,14.36,14.36,0.11966666666666666,5.0,False,0.11966666666666666,11.0661
2,LUNR,Industrials,282.3,47.5,-0.8,74.6,54.3,52.6,32.9,122.0,117.5,85.7,85.7,85.7,640.8,-42.0,1.75,0.21,0.21,315.4574392835861,15.0,13.0,17.0,17.0,7.52,0.0,22.52,22.52,0.18766666666666668,8.0,False,0.18766666666666668,11.4324
3,XRP-USD,Unknown,633.4,32.9,0.3,-5.3,-17.4,-25.2,-29.8,76.6,124.8,148.1,241.2,228.6,2038.6,-55.0,1.57,0.44,0.53,706.7459878487826,7.0,7.0,15.0,14.0,6.508333333333334,13.33333333333333,34.84166666666667,34.84,0.29034722222222226,19.0,True,0.29034722222222226,13.2226
4,TSLA,Consumer Cyclical,979.5,68.1,-6.0,4.3,-1.2,19.3,18.8,51.0,55.5,35.9,451.1,978.7,1461.7,-49.3,1.28,0.19,0.19,1070.917750736971,5.0,5.0,18.0,18.0,2.7600000000000002,10.0,27.759999999999998,27.76,0.2313333333333333,13.0,False,0.2313333333333333,13.3962
5,HOOD,Financial Services,213.0,59.2,-4.5,-8.4,-18.8,-2.9,66.8,269.1,509.7,552.4,552.4,552.4,399.5,-57.3,1.17,0.18,0.17,251.27439412307743,22.0,17.0,19.0,19.0,5.711666666666667,0.0,13.711666666666666,13.71,0.11426388888888889,4.0,False,0.11426388888888889,13.4456
6,BNB-USD,Unknown,1990.1,62.4,-0.1,-0.2,-9.5,-1.6,7.7,27.8,74.0,132.9,1498.5,3132.7,3201.2,-18.9,1.29,0.33,0.44,2063.414150875059,3.0,3.0,16.0,16.0,0.8000000000000003,26.66666666666667,42.46666666666667,42.47,0.3538888888888889,25.0,True,0.3538888888888889,14.0361
7,UNI-USD,Unknown,7191.5,2.4,0.0,2.4,-2.6,6.4,11.9,-9.9,-6.9,-30.5,-42.6,-42.6,306014.5,-128.8,1.49,-41.03,-41.06,7223.497617107346,1.0,1.0,115.0,115.0,11.2,0.0,26.2,26.2,0.21833333333333332,12.0,True,0.21833333333333332,16.3826
8,IONQ,Technology,212.8,56.8,-12.0,-5.0,-22.0,-8.2,8.2,175.4,258.7,299.1,299.1,299.1,395.0,-27.2,1.86,0.14,0.14,258.5303557566348,21.0,18.0,21.5,21.5,8.666666666666668,0.0,23.666666666666668,23.67,0.19722222222222224,10.0,False,0.19722222222222224,16.7038
9,NVDA,Technology,561.0,78.4,-1.2,3.4,-2.8,1.5,19.1,46.2,178.5,473.7,1263.3,3290.0,719.2,-11.6,1.19,0.14,0.14,652.4080035371727,8.0,8.0,21.5,21.5,0.5733333333333333,20.0,35.57333333333334,35.57,0.29644444444444445,20.0,False,0.29644444444444445,18.0069
10,TMDX,Healthcare,128.2,62.0,-4.5,-19.3,-2.9,-8.6,21.2,3.1,9.4,116.9,201.7,201.7,250.8,-71.8,1.37,0.05,0.05,199.3513266210969,26.0,27.0,25.0,25.0,3.328333333333334,0.0,18.328333333333333,18.33,0.1527361111111111,6.0,False,0.1527361111111111,20.7062
11,AVGO,Technology,169.7,73.0,-0.6,-10.6,-2.7,6.0,28.0,72.0,151.0,300.8,486.5,768.0,237.6,-13.6,1.2,0.06,0.06,261.0903627819302,20.0,22.0,24.0,24.0,0.5066666666666666,0.0,8.506666666666666,8.51,0.07088888888888888,2.0,False,0.07088888888888888,22.1144
12,LLY,Healthcare,190.6,83.9,1.1,1.3,21.9,25.0,20.2,14.0,39.0,134.6,269.2,489.6,233.3,-31.1,1.32,0.02,0.02,281.9938420036697,18.0,20.0,27.5,27.5,0.9200000000000005,0.0,0.9200000000000005,0.92,0.007666666666666671,1.0,False,0.007666666666666671,22.9201
13,TRX-USD,Unknown,395.2,5.5,0.0,1.2,-4.7,-10.0,-6.4,37.8,97.1,169.3,461.9,726.4,7354.5,-12.6,1.19,-0.02,-0.02,468.5392323844762,10.0,10.0,101.5,101.0,1.2966666666666669,13.33333333333333,29.629999999999995,29.63,0.24691666666666662,15.0,True,0.24691666666666662,24.7846
14,NVDL,Unknown,99.9,23.2,-1.6,5.4,-8.3,1.6,35.4,69.8,332.6,373.4,373.4,373.4,430.0,0.0,1.8,0.0,0.0,165.5944024609481,30.0,28.0,64.0,63.5,14.816666666666666,0.0,29.816666666666666,29.82,0.24847222222222223,16.0,False,0.24847222222222223,25.4553
15,PLTR,Technology,147.2,71.6,-9.6,5.8,-4.7,6.2,45.5,304.9,682.8,837.9,872.5,872.5,223.6,-45.7,1.56,0.11,0.11,197.97452629880925,27.0,24.0,23.0,23.0,5.4366666666666665,26.66666666666667,47.10333333333334,47.1,0.3925277777777778,30.0,False,0.3925277777777778,25.9631
16,KLAC,Technology,71.1,88.2,-10.6,4.7,5.1,17.7,39.6,41.5,65.3,119.6,261.2,499.9,82.6,-15.2,1.54,44.38,44.75,162.46391960913323,32.0,32.0,8.0,9.0,5.6000000000000005,30.0,43.6,43.6,0.36333333333333334,26.0,False,0.36333333333333334,28.8912
17,SOL-USD,Unknown,660.1,23.6,0.1,-3.5,-19.6,-25.0,-31.0,-35.0,109.7,276.7,1600.7,1600.7,2921.0,-37.0,1.46,-2.0,-1.99,726.704617776455,6.0,6.0,110.0,110.0,10.808333333333335,0.0,25.808333333333337,25.81,0.21506944444444448,11.0,True,0.21506944444444448,29.0452
18,GS,Financial Services,69.0,93.2,-4.3,8.1,9.5,12.2,23.4,44.0,63.0,76.0,115.7,121.9,77.0,-41.0,1.15,32.63,31.45,160.41510306706718,33.0,34.0,11.0,11.0,1.72,30.0,39.72,39.72,0.331,22.0,False,0.331,29.1416
19,WMT,Consumer Defensive,60.4,87.2,2.6,-0.4,5.6,4.8,2.5,20.3,32.8,49.7,53.5,79.4,74.8,-37.6,1.25,39.31,38.96,151.7839857998574,37.0,38.0,10.0,10.0,1.2466666666666668,30.0,31.246666666666666,31.25,0.2603888888888889,17.0,False,0.2603888888888889,29.6582
20,CAT,Industrials,66.0,81.5,-2.2,0.6,8.9,20.8,35.0,36.7,48.3,76.4,112.7,159.3,88.2,-32.0,1.44,43.4,46.61,157.43925211936403,35.0,37.0,9.0,8.0,1.84,30.0,39.84,39.84,0.332,23.0,False,0.332,30.0084
21,AVAV,Industrials,95.2,55.2,-8.2,-6.4,-24.4,-19.2,13.6,14.8,37.2,65.4,87.9,173.6,211.1,-47.6,1.58,125.81,122.13,186.57761320892857,28.0,29.0,5.0,5.0,6.680000000000001,30.0,51.68,51.68,0.43066666666666664,39.0,False,0.43066666666666664,30.141
22,MSTR,Technology,313.8,28.5,-1.4,-11.6,-41.4,-54.6,-61.0,-30.6,92.1,148.0,354.4,451.9,1238.4,-55.1,1.41,0.5,0.49,405.2261019546775,12.0,12.0,14.0,15.0,15.783333333333333,40.0,70.78333333333333,70.78,0.5898611111111111,68.0,False,0.5898611111111111,32.3984
23,DOGE-USD,Unknown,2332.3,20.9,0.6,-2.5,-20.6,-29.0,-42.1,-34.7,-19.9,-10.2,1378.4,1698.4,11277.4,-37.4,1.69,-1.43,-1.48,2405.6245922918265,2.0,2.0,109.0,109.0,16.548333333333332,26.66666666666667,58.215,58.22,0.48512500000000003,49.0,True,0.48512500000000003,32.4032
24,GOOG,Communication Services,72.2,89.2,0.1,-0.7,15.5,37.8,47.6,57.0,75.4,88.0,138.3,219.4,83.5,-21.0,1.76,17.2,17.62,163.6471805117901,31.0,31.0,13.0,12.0,2.291666666666667,40.0,50.291666666666664,50.29,0.4190972222222222,37.0,False,0.4190972222222222,32.8831
25,LRCX,Technology,129.2,93.2,-6.1,10.3,14.9,43.2,77.3,73.2,93.5,119.8,232.4,485.1,139.7,-14.7,1.83,0.03,0.03,220.55439640237492,24.0,26.0,26.0,26.0,4.960000000000001,40.0,52.96,52.96,0.44133333333333336,42.0,False,0.44133333333333336,34.4164
26,PWR,Industrials,66.6,73.9,-4.4,-6.9,-3.8,-1.1,12.3,24.0,43.6,123.5,333.7,556.0,104.2,-39.8,1.25,0.02,0.02,157.99195468821443,34.0,35.0,27.5,27.5,2.256666666666667,30.0,40.25666666666667,40.26,0.3354722222222222,24.0,False,0.3354722222222222,35.2835
27,VST,Utilities,66.5,42.5,0.3,-7.3,-16.3,-21.0,-11.3,41.2,176.0,355.8,398.4,447.5,263.0,-78.8,1.32,284.62,283.11,152.3819810183971,36.0,36.0,3.0,3.0,3.4450000000000003,45.71428571428571,57.15928571428571,57.16,0.4763273809523809,46.0,False,0.4763273809523809,35.4441
28,BTC-USD,Unknown,1849.1,67.3,0.2,-1.1,-11.2,-18.3,-20.6,-2.2,53.2,72.9,322.3,2393.6,2751.4,-4.2,1.13,-0.0,-0.01,1940.4763062192608,4.0,4.0,64.0,99.5,3.7400000000000007,10.0,28.740000000000002,28.74,0.23950000000000002,14.0,True,0.23950000000000002,35.6118
29,ETH-USD,Unknown,70.4,16.8,0.7,0.9,-12.0,-13.9,-2.6,-12.9,-4.5,-6.7,360.1,398.0,744.1,-66.1,1.41,894.95,909.28,143.74886401771602,38.0,33.0,1.0,1.0,5.241666666666667,40.0,60.24166666666667,60.24,0.5020138888888889,51.0,True,0.5020138888888889,36.8326
30,GE,Industrials,30.7,87.5,-2.8,6.5,1.7,5.6,23.3,50.3,110.6,225.4,303.3,221.3,46.8,-82.5,1.13,17.96,17.47,122.1426111050553,40.0,41.0,12.0,13.0,1.1199999999999999,40.0,49.12,49.12,0.4093333333333333,35.0,False,0.4093333333333333,37.4373
31,AAPL,Technology,157.8,64.9,0.4,-4.2,1.4,11.4,5.6,7.1,5.0,11.6,69.4,196.2,249.7,-12.4,1.2,-0.0,-0.0,249.1809191822025,23.0,23.0,64.0,63.5,0.23,20.0,20.23,20.23,0.16858333333333334,7.0,False,0.16858333333333334,38.8709
32,HIMS,Healthcare,39.6,30.1,-3.3,-13.6,-32.3,-36.8,-27.4,26.6,96.2,177.2,162.9,162.9,325.5,-83.8,1.35,338.1,336.62,109.65613506113586,43.0,39.0,2.0,2.0,7.803333333333333,40.0,62.803333333333335,62.8,0.5233611111111112,55.0,False,0.5233611111111112,39.7088
33,SMCI,Technology,225.5,15.6,-1.0,-12.6,-35.4,-41.6,-33.5,-52.5,-24.8,207.7,475.4,618.6,1823.9,-70.0,1.67,-1.02,-1.01,316.94630240612474,14.0,16.0,107.0,107.0,19.406666666666666,20.0,54.406666666666666,54.41,0.4533888888888889,44.0,False,0.4533888888888889,43.0627
34,MKR-USD,Unknown,228.0,21.0,-1.7,-8.7,-16.0,-21.6,-19.6,-37.9,-24.3,-40.4,-13.8,-10.6,1279.9,-52.2,1.22,-0.51,-0.47,301.2534883239754,16.0,15.0,105.0,105.0,17.09166666666667,40.0,72.09166666666667,72.09,0.6007638888888889,72.0,True,0.6007638888888889,43.8486
35,ARKX,Unknown,-4.5,61.8,-8.5,8.0,-0.4,4.4,19.1,39.2,41.5,28.7,28.7,28.7,13.4,-33.4,1.99,0.0,0.0,43.2228717528198,68.0,50.0,64.0,63.5,7.573333333333334,40.0,47.57333333333334,47.57,0.3964444444444445,31.0,False,0.3964444444444445,44.977
36,AMD,Technology,244.3,54.2,0.0,-2.8,9.5,19.4,49.7,29.9,39.6,50.7,142.0,857.0,461.9,-13.4,1.46,-0.06,-0.06,335.7022051328823,13.0,14.0,103.0,103.0,1.0866666666666667,30.0,46.086666666666666,46.09,0.38405555555555554,27.0,False,0.38405555555555554,45.079
37,SPOT,Communication Services,26.6,49.4,1.2,0.1,-11.9,-18.9,-13.3,26.3,104.1,139.9,143.7,139.4,120.4,-65.1,1.36,71.44,70.73,102.96846847319108,45.0,43.0,7.0,7.0,3.7916666666666674,48.0,66.79166666666666,66.79,0.5565972222222222,61.0,False,0.5565972222222222,45.5411
38,LINK-USD,Unknown,430.3,10.9,0.5,0.6,-14.3,-21.2,-28.7,-33.2,-18.4,-37.6,184.7,677.3,4327.3,-44.9,1.68,-2.53,-2.5,503.5643978366728,9.0,9.0,111.0,111.0,15.913333333333334,40.0,70.91333333333333,70.91,0.5909444444444444,69.0,True,0.5909444444444444,45.5472
39,META,Communication Services,17.8,56.2,0.1,2.7,-4.0,-11.6,-10.6,-1.2,41.2,77.6,87.5,112.4,91.0,-76.0,1.14,75.54,75.66,109.20633643586996,44.0,45.0,6.0,6.0,1.9733333333333334,50.0,66.97333333333333,66.97,0.5581111111111111,63.0,False,0.5581111111111111,47.0131
40,ANET,Technology,204.5,57.6,0.2,2.0,-10.3,0.3,9.9,25.4,68.8,191.0,333.0,659.6,365.8,-14.3,1.24,-0.02,-0.03,295.88761202665665,17.0,19.0,101.5,102.0,0.5833333333333335,20.0,35.58333333333333,35.58,0.2965277777777777,21.0,False,0.2965277777777777,49.109
41,JOBY,Industrials,13.1,54.8,-7.4,-2.3,-15.5,-6.2,32.2,74.4,77.6,56.1,54.2,54.2,82.8,-71.3,1.88,-36.85,-36.84,63.54240444270782,57.0,46.0,114.0,114.0,6.545,26.66666666666667,48.21166666666667,48.21,0.4017638888888889,32.0,False,0.4017638888888889,49.6087
42,ADA-USD,Unknown,142.3,8.5,-0.3,-5.6,-25.4,-38.2,-51.9,-51.2,-50.3,-73.9,61.9,67.0,2088.7,-39.0,1.66,-1.11,-0.91,215.6410310043408,25.0,25.0,108.0,106.0,27.533333333333335,40.0,82.53333333333333,82.53,0.6877777777777777,83.0,True,0.6877777777777777,49.8834
43,NFLX,Communication Services,6.5,27.1,1.2,-14.3,-18.7,-26.6,-23.4,-2.4,27.2,52.8,46.5,127.5,149.8,-46.7,1.46,187.8,185.49,97.87570488209792,46.0,47.0,4.0,4.0,6.371666666666666,50.0,71.37166666666667,71.37,0.5947638888888889,71.0,False,0.5947638888888889,50.3694
44,ENPH,Technology,176.6,5.4,0.0,11.8,-1.6,-12.0,-36.3,-65.6,-90.0,-113.5,-93.4,367.5,4450.0,-68.0,1.79,-5.79,-5.92,267.9770648247572,19.0,21.0,112.0,112.0,30.64333333333333,30.0,83.64333333333333,83.64,0.6970277777777778,88.0,False,0.6970277777777778,56.0398
45,ETN,Industrials,-9.5,9.9,-0.8,-6.5,-14.4,-17.5,-15.0,-18.9,-10.4,16.4,52.6,84.9,75.2,-18.8,1.5,0.0,0.0,81.90948701313772,50.0,52.0,64.0,63.5,8.39,40.0,48.39,48.39,0.40325,33.0,False,0.40325,56.2318
46,NTRA,Healthcare,36.2,47.9,-1.8,-2.4,23.1,28.4,29.5,67.0,148.6,161.2,285.2,722.6,166.6,-83.6,1.37,-36.11,-35.67,127.57218016061532,39.0,40.0,113.0,113.0,1.4400000000000006,30.0,46.44,46.44,0.38699999999999996,28.0,False,0.38699999999999996,56.3562
47,QQQ,Unknown,-8.3,4.4,-1.1,-0.7,-0.9,0.4,2.8,4.8,10.3,14.9,31.3,71.0,43.4,-10.7,1.79,0.0,0.0,83.05280607474492,49.0,51.0,64.0,63.5,2.841666666666667,40.0,50.84166666666667,50.84,0.42368055555555556,38.0,False,0.42368055555555556,56.796
48,WM,Industrials,-11.0,22.6,1.3,1.5,2.1,-5.8,-12.2,-16.8,-19.4,-17.1,-19.5,-8.5,58.1,-31.2,1.56,0.0,0.0,80.35047464151961,53.0,56.0,64.0,63.5,11.303333333333335,20.0,31.303333333333335,31.3,0.2608611111111111,18.0,False,0.2608611111111111,57.0648
49,FSLR,Technology,-0.1,33.6,-2.4,-1.1,6.9,23.9,40.8,23.7,11.2,54.7,112.0,158.0,116.8,-59.2,1.68,0.0,0.0,91.28125902032482,48.0,49.0,64.0,63.5,2.8983333333333334,40.0,57.89833333333333,57.9,0.4824861111111111,47.0,False,0.4824861111111111,57.4197
50,COST,Consumer Defensive,75.3,51.4,2.2,-5.7,-7.4,-14.3,-21.8,-20.6,-12.6,3.8,25.8,80.1,162.4,-17.0,1.16,-0.01,-0.01,166.6724514125479,29.0,30.0,100.0,99.5,8.543333333333335,0.0,8.543333333333335,8.54,0.07119444444444446,3.0,False,0.07119444444444446,58.8501
51,TGTX,Healthcare,-18.7,16.3,-0.8,-6.1,-14.4,-17.4,-24.0,1.4,19.0,44.9,66.9,67.5,355.7,-91.4,1.4,0.0,0.0,72.7430622865527,55.0,58.0,64.0,63.5,4.971666666666667,30.0,49.971666666666664,49.97,0.4164305555555555,36.0,False,0.4164305555555555,59.8239
52,ASML,Technology,-10.4,22.3,1.7,-1.9,2.8,19.5,27.7,12.2,9.2,10.4,66.4,196.9,131.4,-51.1,2.42,0.0,0.0,80.96688270802804,51.0,53.0,64.0,63.5,5.591666666666666,40.0,60.59166666666667,60.59,0.5049305555555555,52.0,False,0.5049305555555555,60.3261
53,MSFT,Technology,-34.8,2.0,0.5,-0.9,-6.3,-9.9,-4.7,-8.1,-6.0,2.9,30.5,138.5,94.8,-37.4,1.78,0.0,0.0,56.619286323327,60.0,64.0,64.0,63.5,5.59,40.0,53.59,53.59,0.4465833333333334,43.0,False,0.4465833333333334,60.4806
54,ISRG,Healthcare,-10.8,30.6,-1.5,-0.4,13.8,5.9,-2.7,1.5,13.5,26.7,41.3,118.0,73.3,-47.8,1.49,0.0,0.0,80.64625322663508,52.0,55.0,64.0,63.5,2.036666666666667,50.0,60.03666666666667,60.04,0.5003055555555556,50.0,False,0.5003055555555556,60.5287
55,RIVN,Consumer Cyclical,-10.5,55.2,-9.0,14.5,32.1,35.7,34.7,33.6,5.7,-28.1,-28.1,-28.1,27.3,-57.0,1.68,0.0,0.0,24.22169572607682,82.0,54.0,64.0,63.5,16.14,40.0,71.14,71.14,0.5928333333333333,70.0,False,0.5928333333333333,60.7171
56,LIN,Basic Materials,-38.3,12.7,2.0,4.4,-3.8,-10.9,-16.1,-24.3,-31.0,-26.5,-21.8,-3.5,52.6,-51.5,1.91,0.0,0.0,53.11662864580428,61.0,65.0,64.0,63.5,16.74833333333333,30.0,46.748333333333335,46.75,0.38956944444444447,29.0,False,0.38956944444444447,61.7141
57,VOO,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91.3981193759258,47.0,48.0,64.0,63.5,0.0,80.0,95.0,95.0,0.7916666666666666,100.0,False,0.7916666666666666,62.4396
