Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Period_Penalty,Alpha_Penalty,Penalty_Raw,Penalty,Penalty_N,Penalty_Rank,IsCrypto,Penalty_N2,Average_Rank
1,BTC-USD,Unknown,1849.1,67.3,0.2,-1.1,-11.2,-18.3,-20.6,-2.2,53.2,72.9,322.3,2393.6,2751.4,-4.2,1.13,3423.92,3390.63,1940.4763062192608,4.0,4.0,9.0,9.0,3.7400000000000007,10.0,13.74,13.74,0.1145,5.0,True,0.3645,7.6158
2,TRX-USD,Unknown,395.2,5.5,0.0,1.2,-4.7,-10.0,-6.4,37.8,97.1,169.3,461.9,726.4,7354.5,-12.6,1.19,6777.73,6750.65,468.5392323844762,10.0,10.0,6.0,6.0,6.546666666666667,13.33333333333333,19.879999999999995,19.88,0.16566666666666663,8.0,True,0.41566666666666663,13.0118
3,SOL-USD,Unknown,660.1,23.6,0.1,-3.5,-19.6,-25.0,-31.0,-35.0,109.7,276.7,1600.7,1600.7,2921.0,-37.0,1.46,5688.58,5718.68,726.704617776455,6.0,6.0,7.0,7.0,23.308333333333337,0.0,23.308333333333337,23.31,0.19423611111111114,16.0,True,0.44423611111111116,15.2871
4,NVDA,Technology,561.0,78.4,-1.2,3.4,-2.8,1.5,19.1,46.2,178.5,473.7,1263.3,3290.0,719.2,-11.6,1.19,681.85,668.26,652.4080035371727,8.0,8.0,17.0,17.0,0.5733333333333333,20.0,20.573333333333334,20.57,0.17144444444444445,10.0,False,0.17144444444444445,16.0256
5,TSLA,Consumer Cyclical,965.8,67.9,-6.1,4.3,-1.2,19.3,18.8,51.0,55.5,35.9,451.1,978.7,1449.4,-57.5,1.29,1136.72,1120.83,1070.917750736971,5.0,5.0,14.0,14.0,2.8400000000000003,20.0,22.84,22.84,0.19033333333333333,15.0,False,0.19033333333333333,16.2006
6,XRP-USD,Unknown,633.4,32.9,0.3,-5.3,-17.4,-25.2,-29.8,76.6,124.8,148.1,241.2,228.6,2038.6,-55.0,1.57,2965.69,2938.94,706.7459878487826,7.0,7.0,10.0,10.0,11.758333333333333,13.33333333333333,25.09166666666666,25.09,0.20909722222222218,19.0,True,0.45909722222222216,18.3027
7,BNB-USD,Unknown,1990.1,62.4,-0.1,-0.2,-9.5,-1.6,7.7,27.8,74.0,132.9,1498.5,3132.7,3201.2,-18.9,1.29,2621.02,2650.55,2063.414150875059,3.0,3.0,11.0,11.0,6.050000000000001,26.66666666666667,32.71666666666667,32.72,0.27263888888888893,27.0,True,0.5226388888888889,20.4153
8,LLY,Healthcare,190.6,83.9,1.1,1.3,21.9,25.0,20.2,14.0,39.0,134.6,269.2,489.6,233.3,-31.1,1.32,183.54,184.2,281.9938420036697,18.0,20.0,29.0,30.0,0.9200000000000005,0.0,0.9200000000000005,0.92,0.007666666666666671,2.0,False,0.007666666666666671,23.0718
9,RKLB,Industrials,375.6,87.9,-11.3,72.2,43.0,55.2,123.7,637.9,864.1,810.3,805.8,805.8,433.1,-43.3,1.66,126.58,126.84,422.6212248673006,11.0,11.0,32.0,33.0,20.86,0.0,20.86,20.86,0.17383333333333334,12.0,False,0.17383333333333334,23.2364
10,ANET,Technology,204.5,57.6,0.2,2.0,-10.3,0.3,9.9,25.4,68.8,191.0,333.0,659.6,365.8,-14.3,1.24,429.15,432.26,295.88761202665665,17.0,19.0,18.0,18.0,0.5833333333333335,20.0,20.583333333333332,20.58,0.17152777777777778,11.0,False,0.17152777777777778,23.5938
11,AVGO,Technology,169.7,73.0,-0.6,-10.6,-2.7,6.0,28.0,72.0,151.0,300.8,486.5,768.0,237.6,-13.6,1.2,175.11,177.17,261.0903627819302,20.0,21.0,31.0,31.0,0.5066666666666666,0.0,0.5066666666666666,0.51,0.004222222222222222,1.0,False,0.004222222222222222,24.0807
12,HOOD,Financial Services,213.0,59.2,-4.5,-8.4,-18.8,-2.9,66.8,269.1,509.7,552.4,552.4,552.4,399.5,-57.3,1.17,249.9,240.75,251.27439412307743,22.0,17.0,23.0,23.0,19.211666666666666,0.0,19.211666666666666,19.21,0.16009722222222222,7.0,False,0.16009722222222222,24.5353
13,DOGE-USD,Unknown,2332.3,20.9,0.6,-2.5,-20.6,-29.0,-42.1,-34.7,-19.9,-10.2,1378.4,1698.4,11277.4,-37.4,1.69,21982.46,21899.35,2405.6245922918265,2.0,2.0,2.0,2.0,21.798333333333332,26.66666666666667,48.465,48.46,0.40387500000000004,41.0,True,0.653875,27.0277
14,AAPL,Technology,157.8,64.9,0.4,-4.2,1.4,11.4,5.6,7.1,5.0,11.6,69.4,196.2,249.7,-12.4,1.2,250.9,249.2,249.1809191822025,23.0,23.0,22.0,22.0,0.23,20.0,20.23,20.23,0.16858333333333334,9.0,False,0.16858333333333334,27.1674
15,TMDX,Healthcare,128.2,62.0,-4.5,-19.3,-2.9,-8.6,21.2,3.1,9.4,116.9,201.7,201.7,250.8,-71.8,1.37,214.14,212.75,199.3513266210969,26.0,27.0,25.0,25.0,13.328333333333333,0.0,13.328333333333333,13.33,0.11106944444444444,4.0,False,0.11106944444444444,27.547
16,AMD,Technology,244.3,54.2,0.0,-2.8,9.5,19.4,49.7,29.9,39.6,50.7,142.0,857.0,461.9,-13.4,1.46,382.3,379.49,335.7022051328823,13.0,14.0,19.0,19.0,1.0866666666666667,30.0,31.086666666666666,31.09,0.25905555555555554,23.0,False,0.25905555555555554,27.7834
17,IONQ,Technology,212.8,56.8,-12.0,-5.0,-22.0,-8.2,8.2,175.4,258.7,299.1,299.1,299.1,395.0,-27.2,1.86,218.79,213.33,258.5303557566348,21.0,18.0,24.0,24.0,23.666666666666668,0.0,23.666666666666668,23.67,0.19722222222222224,17.0,False,0.19722222222222224,30.42
18,COST,Consumer Defensive,61.6,49.8,2.3,-5.7,-7.4,-14.3,-21.8,-20.6,-12.6,3.8,25.8,80.1,151.0,-27.2,1.16,205.5,204.99,166.6724514125479,29.0,34.0,27.0,27.0,8.583333333333334,0.0,8.583333333333334,8.58,0.07152777777777779,3.0,False,0.07152777777777779,30.6806
