Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
1,NVDA,Semiconductors,3737.7,91.5,2.6,1.4,6.2,6.6,8.3,26.3,98.2,423.2,1106.3,3737.7,4013.4,-12.1,1.1,3255.9,721.1154057261612,3887.9,1.0,1.0,1.0,1.0,4.44,4.44,25.69,25.69,4,-25.3795317678871,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,1.0,1.0,1.0,1.0,4.44,4.44,128.0,0.0,0.0,12.0,-22.0,25.69,25.69,5296163948699.95,5296.164,1.0,cap10,equity,data_raw,236.54,-7.56,False
2,KLAC,Semiconductor Equipment,1172.0,100.0,5.6,14.2,20.6,37.0,70.2,115.3,151.1,265.3,499.7,1172.0,1169.5,-14.1,1.2,575.5,89.7,1322.3,15.0,15.0,15.0,15.0,4.44,4.44,41.54,41.54,5,-12.658460793912923,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,15.0,15.0,15.0,15.0,4.44,4.44,43.0,0.0,0.0,-6.0,0.0,41.54,41.54,278380322759.69,278.38,43.0,cap100,equity,data_raw,2156.6899,-1.19,False
3,SMCI,Computer Hardware,1021.0,28.0,0.3,34.1,48.8,46.4,15.3,0.5,-11.2,288.1,669.4,1021.0,3831.2,-73.1,1.4,3201.7,2880.168104988726,1171.2,21.0,21.0,23.0,23.0,23.33,23.33,45.18,45.18,1,-286.2275481807669,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,21.0,21.0,23.0,23.0,23.33,23.33,40.0,0.0,0.0,0.0,0.0,45.18,45.18,28206527723.49,28.207,332.0,other,equity,data_raw,58.78,-20.21,False
4,AVGO,Semiconductors,1251.7,85.0,-15.0,-7.2,6.1,7.0,14.6,60.7,126.6,329.0,612.2,1251.7,1473.1,-16.4,1.2,1099.3,200.42167347530076,1401.9,13.0,13.0,13.0,13.0,0.4,0.4,46.7,46.7,-3,52.921673475300764,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,13.0,13.0,13.0,13.0,0.4,0.4,129.0,0.0,0.0,0.0,0.0,46.7,46.7,1983399866298.31,1983.4,8.0,cap10,equity,data_raw,495.0,-15.37,False
5,DELL,Computer Hardware & Services,1076.0,88.9,-11.1,43.2,98.6,155.5,179.4,211.1,284.5,484.4,727.2,1076.0,1206.8,-23.7,1.7,271.8,57.26098732721272,1213.9,18.0,18.0,18.0,18.0,5.0,5.0,53.1,53.1,1,11.060987327212715,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,18.0,18.0,18.0,18.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,53.1,53.1,137180675077.7,137.181,91.0,cap100,equity,data_raw,469.47,-10.1,False
6,MPWR,Semiconductors,673.0,96.9,5.4,3.3,18.2,35.5,58.5,81.6,96.9,138.6,264.4,673.0,693.2,-5.3,1.4,333.8,64.06651452507657,823.2,34.0,34.0,36.0,36.0,0.0,0.0,53.55,53.55,13,-6.94767734366728,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,34.0,34.0,36.0,36.0,0.0,0.0,47.0,0.0,0.0,-6.0,0.0,53.55,53.55,81192236800.54,81.192,151.0,large,equity,data_raw,1714.0898,-3.59,False
7,AMD,Semiconductors,2247.5,96.1,-3.5,21.4,81.7,99.7,152.7,211.2,217.0,280.7,425.6,2247.5,2340.5,-27.9,1.5,789.6,144.2491588406012,2397.7,4.0,4.0,4.0,4.0,15.89,15.89,56.29,56.29,-5,9.883131344300864,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,4.0,4.0,4.0,4.0,15.89,15.89,6.0,0.0,0.0,12.0,0.0,56.29,56.29,853130274229.59,853.13,14.0,cap100,equity,data_raw,546.44,-4.25,False
8,RGTI,Quantum Computing,943.4,35.7,-2.8,13.7,29.8,18.9,21.7,628.3,959.1,972.9,,943.4,2754.1,-93.0,1.5,2257.6,640.6696548177995,1006.5,27.0,27.0,27.0,27.0,12.5,12.5,57.65,57.65,2,53.4774638270967,STRONG_UP,MID_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,27.0,27.0,27.0,27.0,12.5,12.5,62.0,0.0,11.0,0.0,0.0,57.65,57.65,8030755126.4,8.031,520.0,other,equity,data_raw,58.15,-58.45,False
9,LRCX,Semiconductor Equipment,1199.4,97.4,-0.7,16.1,25.5,46.9,116.7,201.2,232.3,331.9,506.1,1199.4,1218.7,-7.6,1.3,471.1,60.09656397510315,1349.7,14.0,14.0,14.0,14.0,11.44,11.44,58.04,58.04,3,1.6472136409228284,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,14.0,14.0,14.0,14.0,11.44,11.44,26.0,0.0,0.0,0.0,0.0,58.04,58.04,420704594689.73,420.705,27.0,cap100,equity,data_raw,346.18,-2.82,False
10,QUBT,Quantum Computing,1022.9,12.5,-1.0,3.5,20.6,11.8,-15.7,375.5,571.5,444.7,332.2,1022.9,9187.6,-139.9,1.6,9803.9,4861.709020687385,1173.1,20.0,20.0,22.0,22.0,20.53,20.53,60.78,60.78,-7,90.57064026046737,STRONG_UP,LOWER,MOMENTUM_DOWN,S0_NEUTRAL,,,,,20.0,20.0,22.0,22.0,20.53,20.53,127.0,10.0,0.0,0.0,0.0,60.78,60.78,2523736409.89,2.524,538.0,other,equity,data_raw,25.84,-56.7,False
