Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,MRI_Stress,GeoMRI,rate_vs,shares_vs,Close_vs,Dividend_vs,Dividend
2016-01-04,14.894000053405762,15.381333351135254,15.425333023071287,14.600000381469728,14.894000053405762,102406500.0,999.0021019964219,0,1.1040984182358216,997.898003578186,67,0.0,1000,"cash_0%_Buy 100% of cash (67 shares - DCA Strategy) Monthly invest 100.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,14.894000053405762,0.0,TSLA,0.5577,DeployReady,0.8841,0.1488,0.0,0,184.3099975585937,0.0,0.0
2016-01-05,14.895333290100098,15.09066677093506,15.12600040435791,14.666666984558104,14.895333290100098,47802000.0,999.0914288549424,0,1.1040984182358216,997.9873304367065,67,0.008932685852058864,1000,DeployReady,0.0,0.0,0.0,0.0,0.0,0.0,14.895333290100098,0.0006,TSLA,0.5837,DeployReady,0.871,0.1367,0.16500091552736906,0,184.63999938964844,0.0,0.0
2016-01-06,14.602666854858398,14.666666984558104,14.670000076293944,14.398667335510254,14.602666854858398,56686500.0,979.4827776937485,0,1.1040984182358216,978.3786792755127,67,-1.9519324302673335,1000,DeployReady,0.0,0.0,0.0,0.0,0.0,0.0,14.895333290100098,-0.1247,TSLA,0.5819,DeployReady,0.888,0.1437,-1.0049972534179386,0,182.3000030517578,0.0,0.0
2016-01-07,14.376667022705078,14.279333114624023,14.562666893005373,14.244667053222656,14.376667022705078,53314500.0,964.340788939476,0,1.1040984182358216,963.2366905212402,67,-3.4661313056945753,1000,DeployReady,0.0,0.0,0.0,0.0,0.0,0.0,14.895333290100098,-0.2941,TSLA,0.5361,DeployReady,0.9213,0.1566,-3.2249984741210658,0,177.86000061035156,0.0,0.0
2016-01-08,14.06666660308838,14.52400016784668,14.696000099182127,14.0513334274292,14.06666660308838,54421500.0,943.5707608251573,0,1.1040984182358216,942.4666624069215,67,-5.543134117126447,1000,DeployReady,0.0,14.5671,0.0,0.0,0.0,0.0,14.895333290100098,-0.5194,TSLA,0.5369,DeployReady,0.9387,0.1578,-4.169998168945288,0,175.97000122070312,0.0,0.0
2016-01-09,14.06666660308838,14.52400016784668,14.696000099182127,14.0513334274292,14.06666660308838,54421500.0,943.5707608251573,0,1.1040984182358216,942.4666624069215,67,-5.543134117126447,1000,DeployReady,0.0,14.4016,0.0,0.0,0.0,0.0,14.895333290100098,-0.6332,TSLA,0.5369,DeployReady,0.9387,0.1578,-4.169998168945288,0,175.97000122070312,0.0,0.0
2016-01-10,14.06666660308838,14.52400016784668,14.696000099182127,14.0513334274292,14.06666660308838,54421500.0,943.5707608251573,0,1.1040984182358216,942.4666624069215,67,-5.543134117126447,1000,DeployReady,0.0,14.2359,0.0,0.0,0.0,0.0,14.895333290100098,-0.6693,TSLA,0.5369,DeployReady,0.9387,0.1578,-4.169998168945288,0,175.97000122070312,0.0,0.0
2016-01-11,13.856666564941406,14.267333030700684,14.296667098999023,13.533332824707031,13.856666564941406,61371000.0,929.50075826931,0,1.1040984182358216,928.3966598510742,67,-6.950134372711181,1000,DeployReady,0.0,14.0867,0.0,0.0,0.0,0.0,14.895333290100098,-0.7459,TSLA,0.5414,DeployReady,0.9312,0.1497,-4.159996032714819,0,175.99000549316406,0.0,0.0
2016-01-12,13.998000144958496,14.106666564941406,14.249333381652832,13.687333106994627,13.998000144958496,46378500.0,938.9701081304551,0,1.1040984182358216,937.8660097122192,67,-6.00319938659668,1000,DeployReady,0.0,14.0109,0.0,0.0,0.0,0.0,14.895333290100098,-0.6871,TSLA,0.5789,DeployReady,0.9231,0.1375,-3.430000305175751,0,177.4499969482422,0.0,0.0
2016-01-13,13.354000091552734,14.133999824523926,14.17666721343994,13.333333015441896,13.354000091552734,61896000.0,895.822104552269,0,1.1040984182358216,894.7180061340332,67,-10.317999744415275,1000,DeployReady,0.0,13.8684,0.0,0.0,0.0,0.0,14.895333290100098,-0.895,TSLA,0.5581,DeployReady,0.9392,0.1257,-5.599998474121071,0,173.11000061035156,0.0,0.0
