Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs,Dividend_vs,Dividend
2016-01-04,433.0910034179688,430.0610046386719,434.5169982910156,429.0840148925781,433.0910034179688,38477500.0,999.1338179931641,0,132.95181115722653,866.1820068359376,2,0.0,1000,"cash_13%_Buy 100% of cash (2 shares - DCA Strategy) Monthly invest 100.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,433.0910034179688,0.0,BTC-USD,0.6,Hold,0.0,0.0,184.3099975585937,0.0,0.0
2016-01-05,431.9599914550781,433.0690002441406,434.1820068359375,429.6759948730469,431.9599914550781,34522600.0,996.8717940673828,0,132.95181115722653,863.9199829101562,2,-0.22620239257813424,1000,,0.0,0.0,0.0,0.0,0.0,0.0,433.0910034179688,-0.0167,BTC-USD,0.7,Hold,0.16500091552736906,0.0,184.63999938964844,0.0,0.0
2016-01-06,429.1050109863281,431.8559875488281,431.8559875488281,426.3410034179688,429.1050109863281,34042500.0,991.1618331298828,0,132.95181115722653,858.2100219726562,2,-0.7971984863281323,1000,,0.0,0.0,0.0,0.0,0.0,0.0,433.0910034179688,-0.0683,BTC-USD,0.6,Hold,-1.0049972534179386,0.0,182.3000030517578,0.0,0.0
2016-01-07,458.0480041503906,430.010986328125,458.7659912109375,429.0769958496094,458.0480041503906,87562200.0,1049.0478194580078,0,132.95181115722653,916.0960083007812,2,4.991400146484359,1000,,0.0,0.0,0.0,0.0,0.0,0.0,458.0480041503906,0.3286,BTC-USD,0.6,Hold,-3.2249984741210658,0.0,177.86000061035156,0.0,0.0
2016-01-08,453.2300109863281,457.5379943847656,462.9339904785156,447.93798828125,453.2300109863281,56993000.0,1039.4118331298828,0,132.95181115722653,906.4600219726562,2,4.027801513671858,1000,,0.0,441.0868,0.0,0.0,0.0,0.0,458.0480041503906,0.4869,BTC-USD,0.6,Hold,-4.169998168945288,0.0,175.97000122070312,0.0,0.0
2016-01-09,447.6109924316406,453.3829956054688,454.6400146484375,446.8890075683594,447.6109924316406,32278000.0,1028.1737960205078,0,132.95181115722653,895.2219848632812,2,2.9039978027343594,1000,,0.0,443.9908,0.0,0.0,0.0,0.0,458.0480041503906,0.4762,BTC-USD,0.6,Hold,-4.169998168945288,0.0,175.97000122070312,0.0,0.0
2016-01-10,447.9909973144531,448.2380065917969,448.3089904785156,440.35101318359375,447.9909973144531,35995900.0,1028.9338057861328,0,132.95181115722653,895.9819946289062,2,2.9799987792968663,1000,,0.0,447.197,0.0,0.0,0.0,0.0,458.0480041503906,0.4469,BTC-USD,0.6,Hold,-4.169998168945288,0.0,175.97000122070312,0.0,0.0
2016-01-11,448.4280090332031,448.697998046875,450.6619873046875,443.8550109863281,448.4280090332031,40450000.0,1029.8078292236328,0,132.95181115722653,896.8560180664062,2,3.0674011230468645,1000,,0.0,451.0616,0.0,0.0,0.0,0.0,458.0480041503906,0.4072,BTC-USD,0.6,Hold,-4.159996032714819,0.0,175.99000549316406,0.0,0.0
2016-01-12,435.6900024414063,448.1820068359375,448.1820068359375,435.6900024414063,435.6900024414063,115607000.0,1004.3318160400391,0,132.95181115722653,871.3800048828126,2,0.5197998046875041,1000,,0.0,446.59,0.0,0.0,0.0,0.0,458.0480041503906,0.1722,BTC-USD,0.6,Hold,-3.430000305175751,0.0,177.4499969482422,0.0,0.0
2016-01-13,432.3710021972656,434.6650085449219,435.1860046386719,424.4429931640625,432.3710021972656,173888000.0,997.6938155517578,0,132.95181115722653,864.7420043945312,2,-0.14400024414064072,1000,,0.0,442.4182,0.0,0.0,0.0,0.0,458.0480041503906,-0.0374,BTC-USD,0.6,Hold,-5.599998474121071,0.0,173.11000061035156,0.0,0.0
2016-01-14,430.3059997558594,432.2879943847656,433.3240051269531,427.8450012207031,430.3059997558594,43945500.0,993.5638106689453,0,132.95181115722653,860.6119995117188,2,-0.5570007324218862,1000,,0.0,438.9572,0.0,0.0,0.0,0.0,458.0480041503906,-0.2021,BTC-USD,0.6,Hold,-4.194999694824197,0.0,175.9199981689453,0.0,0.0
2016-01-15,364.33099365234375,430.2550048828125,430.2550048828125,364.33099365234375,364.33099365234375,153351008.0,861.613798461914,0,132.95181115722653,728.6619873046875,2,-13.752001953125014,1000,,0.0,422.2252,0.0,0.0,0.0,0.0,458.0480041503906,-1.2734,BTC-USD,0.6,Hold,-6.080001831054659,0.0,172.14999389648438,0.0,0.0
2016-01-16,387.5360107421875,365.072998046875,390.5570068359375,354.9140014648437,387.5360107421875,120352000.0,908.0238326416015,0,132.95181115722653,775.072021484375,2,-9.110998535156256,1000,,0.0,410.0468,0.0,0.0,0.0,0.0,458.0480041503906,-1.5498,BTC-USD,0.6,Hold,-6.080001831054659,0.0,172.14999389648438,0.0,0.0
2016-01-17,382.2990112304688,387.1520080566406,390.9649963378906,380.0920104980469,382.2990112304688,45319600.0,897.5498336181641,0,132.95181115722653,764.5980224609376,2,-10.158398437500004,1000,,33.79551776001719,399.3686,0.0,0.0,0.0,0.0,458.0480041503906,-1.7278,BTC-USD,0.6,Hold,-6.080001831054659,0.0,172.14999389648438,0.0,0.0
2016-01-18,387.1679992675781,381.7330017089844,388.10400390625,376.6650085449219,387.1679992675781,54403900.0,907.2878096923828,0,132.95181115722653,774.3359985351562,2,-9.18460083007814,1000,,35.79036131153545,390.328,0.0,0.0,0.0,0.0,458.0480041503906,-1.6755,BTC-USD,0.6,Hold,-6.080001831054659,0.0,172.14999389648438,0.0,0.0
2016-01-19,380.1489868164063,387.0260009765625,387.7300109863281,378.9719848632813,380.1489868164063,46819800.0,893.2497847900391,0,132.95181115722653,760.2979736328126,2,-10.588403320312501,1000,,34.532092384901986,380.2966,0.0,0.0,0.0,0.0,458.0480041503906,-1.66,BTC-USD,0.6,Hold,-5.985000610351532,0.0,172.33999633789062,0.0,0.0
2016-01-20,420.2300109863281,379.739990234375,425.2669982910156,376.5989990234375,420.2300109863281,121720000.0,973.4118331298828,0,132.95181115722653,840.4600219726562,2,-2.5721984863281366,1000,,47.83224723067676,391.4764,0.0,0.0,0.0,0.0,458.0480041503906,-0.9264,BTC-USD,0.6,Hold,-6.994995117187475,0.0,170.32000732421875,0.0,0.0
2016-01-21,410.2619934082031,419.6319885253906,422.87701416015625,406.2999877929688,410.2619934082031,68338000.0,953.4757979736328,0,132.95181115722653,820.5239868164062,2,-4.565802001953134,1000,,37.1356311957731,396.0216,0.0,0.0,0.0,0.0,458.0480041503906,-0.5577,BTC-USD,0.6,Hold,-6.580001831054661,0.0,171.14999389648438,0.0,0.0
2016-01-22,382.4920043945313,409.7510070800781,410.4100036621094,375.2820129394531,382.4920043945313,91546600.0,897.9358199462891,0,132.95181115722653,764.9840087890626,2,-10.119799804687503,1000,,33.051251847188425,396.0602,0.0,0.0,0.0,0.0,458.0480041503906,-0.7153,BTC-USD,0.6,Hold,-4.824996948242166,0.0,174.66000366210938,0.0,0.0
2016-01-23,387.4909973144531,382.4339904785156,394.5429992675781,381.9809875488281,387.4909973144531,56247400.0,907.9338057861328,0,132.95181115722653,774.9819946289062,2,-9.120001220703134,1000,,35.552389649530966,396.1248,417.4895,0.0,0.0,0.0,458.0480041503906,-0.6834,BTC-USD,0.6,Hold,-4.824996948242166,0.0,174.66000366210938,0.0,0.0
2016-01-24,402.9710083007813,388.10198974609375,405.4849853515625,387.510009765625,402.9710083007813,54824800.0,938.8938277587891,0,132.95181115722653,805.9420166015626,2,-6.023999023437498,1000,,39.91316328379538,400.6892,415.9835,0.0,0.0,0.0,458.0480041503906,-0.3642,BTC-USD,0.6,Hold,-4.824996948242166,0.0,174.66000366210938,0.0,0.0
2016-01-25,391.72601318359375,402.3169860839844,402.3169860839844,388.5539855957031,391.72601318359375,59062400.0,916.403837524414,0,132.95181115722653,783.4520263671875,2,-8.272998046875014,1000,,37.882638636988816,394.9884,413.9718,0.0,0.0,0.0,458.0480041503906,-0.3026,BTC-USD,0.6,Hold,-6.119995117187472,0.0,172.07000732421875,0.0,0.0
2016-01-26,392.1530151367188,392.00201416015625,397.7659912109375,390.5750122070313,392.1530151367188,58147000.0,917.2578414306641,0,132.95181115722653,784.3060302734376,2,-8.187597656250002,1000,,40.17928981276341,391.3666,412.1242,0.0,0.0,0.0,458.0480041503906,-0.221,BTC-USD,0.6,Hold,-4.955001831054661,0.0,174.39999389648438,0.0,0.0
2016-01-27,394.9719848632813,392.4440002441406,396.8429870605469,391.7820129394531,394.9719848632813,47424400.0,922.8957808837891,0,132.95181115722653,789.9439697265626,2,-7.623803710937504,1000,,41.5447680738033,393.8626,408.9704,0.0,0.0,0.0,458.0480041503906,-0.092,BTC-USD,0.6,Hold,-5.944999694824194,0.0,172.4199981689453,0.0,0.0
