Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,MRI_Stress,GeoMRI,rate_vs,shares_vs,Close_vs,Dividend_vs,Dividend
2016-01-04,98.13999938964844,99.5999984741211,99.80999755859376,96.69000244140624,98.13999938964844,3132400.0,999.0186000061035,0,17.618606109619122,981.3999938964844,10,0.0,1000,"cash_2%_Buy 100% of cash (10 shares - DCA Strategy) Monthly invest 100.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,98.13999938964844,0.0,RCL,0.4127,DeployReady,0.8841,0.1488,0.0,0,184.3099975585937,0.0,0.0
2016-01-05,96.54000091552734,96.38999938964844,97.68000030517578,96.3000030517578,96.54000091552734,2198000.0,983.0186152648926,0,17.618606109619122,965.4000091552734,10,-1.5999984741211004,1000,DeployReady,0.0,0.0,0.0,0.0,0.0,0.0,98.13999938964844,-0.1042,RCL,0.4544,DeployReady,0.871,0.1367,0.16500091552736906,0,184.63999938964844,0.0,0.0
2016-01-06,95.30999755859376,94.22000122070312,96.79000091552734,93.30999755859376,95.30999755859376,2855100.0,970.7185816955567,0,17.618606109619122,953.0999755859376,10,-2.830001831054685,1000,DeployReady,0.0,0.0,0.0,0.0,0.0,0.0,98.13999938964844,-0.2444,RCL,0.4308,DeployReady,0.888,0.1437,-1.0049972534179386,0,182.3000030517578,0.0,0.0
2016-01-07,92.43000030517578,93.18000030517578,94.76000213623048,92.26000213623048,92.43000030517578,2674400.0,941.9186091613769,0,17.618606109619122,924.3000030517578,10,-5.709999084472662,1000,DeployReady,0.0,0.0,0.0,0.0,0.0,0.0,98.13999938964844,-0.5087,RCL,0.3765,DeployReady,0.9213,0.1566,-3.2249984741210658,0,177.86000061035156,0.0,0.0
2016-01-08,91.77999877929688,93.4800033569336,94.54000091552734,91.41999816894533,91.77999877929688,2334200.0,935.4185939025879,0,17.618606109619122,917.7999877929688,10,-6.360000610351568,1000,DeployReady,0.0,94.84,0.0,0.0,0.0,0.0,98.13999938964844,-0.6913,RCL,0.3682,DeployReady,0.9387,0.1578,-4.169998168945288,0,175.97000122070312,0.0,0.0
2016-01-09,91.77999877929688,93.4800033569336,94.54000091552734,91.41999816894533,91.77999877929688,2334200.0,935.4185939025879,0,17.618606109619122,917.7999877929688,10,-6.360000610351568,1000,DeployReady,0.0,93.568,0.0,0.0,0.0,0.0,98.13999938964844,-0.7682,RCL,0.3682,DeployReady,0.9387,0.1578,-4.169998168945288,0,175.97000122070312,0.0,0.0
2016-01-10,91.77999877929688,93.4800033569336,94.54000091552734,91.41999816894533,91.77999877929688,2334200.0,935.4185939025879,0,17.618606109619122,917.7999877929688,10,-6.360000610351568,1000,DeployReady,0.0,92.616,0.0,0.0,0.0,0.0,98.13999938964844,-0.7728,RCL,0.3682,DeployReady,0.9387,0.1578,-4.169998168945288,0,175.97000122070312,0.0,0.0
2016-01-11,93.5999984741211,92.5500030517578,94.54000091552734,91.9000015258789,93.5999984741211,2265700.0,953.6185908508301,0,17.618606109619122,935.9999847412109,10,-4.540000915527353,1000,DeployReady,0.0,92.274,0.0,0.0,0.0,0.0,98.13999938964844,-0.6068,RCL,0.3739,DeployReady,0.9312,0.1497,-4.159996032714819,0,175.99000549316406,0.0,0.0
2016-01-12,94.0199966430664,94.5,95.6500015258789,92.9800033569336,94.0199966430664,2019300.0,957.8185725402832,0,17.618606109619122,940.1999664306641,10,-4.12000274658204,1000,DeployReady,0.0,92.592,0.0,0.0,0.0,0.0,98.13999938964844,-0.4345,RCL,0.4063,DeployReady,0.9231,0.1375,-3.430000305175751,0,177.4499969482422,0.0,0.0
2016-01-13,89.04000091552734,94.0500030517578,94.55999755859376,88.9000015258789,89.04000091552734,3597600.0,908.0186152648926,0,17.618606109619122,890.4000091552734,10,-9.099998474121096,1000,DeployReady,0.0,92.044,0.0,0.0,0.0,0.0,98.13999938964844,-0.6319,RCL,0.3736,DeployReady,0.9392,0.1257,-5.599998474121071,0,173.11000061035156,0.0,0.0
