Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,24,7,17,1.17,0.0,50.3,37.5
2021-2023,3,22,-20,0.87,-0.1,31.4,40.8
2022-2024,-30,35,-65,0.77,-0.4,31.4,29.9
2023-2025,-61,81,-142,1.12,-0.4,48.0,17.4
2024-2026,-17,71,-89,0.88,-0.1,48.0,22.7
