Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,-34,7,-42,1.29,-0.0,60.3,46.4
2021-2023,25,22,2,1.55,0.0,48.1,115.5
2022-2024,56,35,22,1.51,0.1,41.5,113.2
2023-2025,104,81,23,1.26,0.1,29.5,153.3
2024-2026,-19,71,-90,1.13,-1.3,29.5,134.2
