Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,15,12,3,0.42,0.0,12.7,56.8
2017-2019,42,26,17,0.38,0.0,12.7,66.3
2018-2020,30,24,6,1.01,0.0,47.2,56.0
2019-2021,22,66,-44,1.07,-0.1,47.2,66.5
2020-2022,-10,7,-18,0.99,-0.0,47.2,59.0
2021-2023,15,22,-7,0.6,-0.1,23.8,53.4
2022-2024,-18,35,-53,0.51,-0.5,23.8,49.6
2023-2025,-4,81,-85,0.32,-0.9,23.8,52.4
2024-2026,40,47,-7,0.18,-0.1,17.5,58.6
