Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,3,12,-9,0.3,-0.0,12.5,12.1
2017-2019,22,26,-4,0.25,-0.0,12.5,13.3
2018-2020,-5,24,-28,0.78,-0.0,30.1,11.0
2019-2021,6,66,-60,0.85,-0.1,30.1,13.2
2020-2022,-1,7,-8,0.79,-0.0,30.1,13.1
2021-2023,27,22,5,0.51,0.0,22.3,12.7
2022-2024,45,35,10,0.49,0.1,22.3,17.6
2023-2025,72,81,-9,0.41,-0.2,15.7,20.0
2024-2026,96,52,44,0.36,1.1,9.6,22.1
