Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2018-2020,-552,24,-576,0.96,-0.7,66.5,4.4
2019-2021,185,66,118,1.11,0.1,70.6,9.2
2020-2022,4,7,-4,1.26,-0.0,87.7,2.4
2021-2023,-207,22,-230,1.54,-0.1,87.7,4.4
2022-2024,115,35,80,1.32,0.0,65.6,11.3
2023-2025,83,81,2,1.21,0.0,62.9,6.9
2024-2026,41,69,-27,1.3,-0.0,72.5,6.0
