Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,44,12,32,1.2,0.2,17.3,174.1
2017-2019,30,26,4,1.28,0.0,19.2,192.7
2018-2020,-9,24,-32,1.06,-0.1,34.2,179.8
2019-2021,38,66,-29,0.99,-0.1,34.2,254.6
2020-2022,3,7,-5,0.93,-0.0,32.3,191.4
2021-2023,11,22,-11,0.83,-0.1,31.0,203.0
2022-2024,8,35,-27,0.8,-0.3,24.6,237.8
2023-2025,85,81,4,0.81,0.1,16.6,309.4
2024-2026,170,75,95,0.9,1.9,16.6,440.3
