Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,16,12,4,0.96,0.0,20.0,9.3
2017-2019,23,26,-3,0.99,-0.0,24.6,11.2
2018-2020,-1,24,-25,1.0,-0.0,48.2,11.7
2019-2021,135,66,69,1.02,0.0,48.2,24.3
2020-2022,103,7,96,1.05,0.1,48.2,24.5
2021-2023,170,22,148,1.11,2.0,31.1,32.8
2022-2024,70,35,35,1.11,0.7,26.8,35.3
2023-2025,-93,81,-174,1.0,-2.7,57.8,18.4
2024-2026,-208,47,-255,1.04,-2.2,71.9,11.5
