Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2021-2023,-8,22,-30,1.81,-0.0,55.4,6.5
2022-2024,91,35,56,1.86,0.0,48.1,8.0
2023-2025,135,81,54,2.04,0.0,48.1,12.9
2024-2026,60,48,11,1.94,0.0,51.4,9.5
