Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-7,12,-19,0.89,-0.0,24.4,42.7
2017-2019,-20,26,-45,0.91,-0.0,24.4,47.9
2018-2020,-42,24,-66,0.92,-0.0,42.5,40.4
2019-2021,31,66,-36,0.9,-0.0,42.5,56.6
2020-2022,48,7,40,0.8,0.1,42.5,67.4
2021-2023,64,22,42,0.59,0.2,15.8,70.5
2022-2024,24,35,-11,0.56,-0.2,16.6,71.5
2023-2025,63,81,-18,0.54,-0.4,19.9,91.4
2024-2026,54,49,5,0.55,0.2,19.9,96.2
