Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,12,12,0,1.35,0.0,22.9,17.9
2017-2019,0,26,-26,1.27,-0.1,22.9,21.5
2018-2020,-36,24,-60,1.19,-0.1,50.6,16.1
2019-2021,14,66,-53,1.14,-0.0,50.6,21.4
2020-2022,35,7,28,1.08,0.0,46.0,21.6
2021-2023,45,22,23,1.01,0.1,23.2,23.0
2022-2024,49,35,14,1.12,0.1,25.0,28.9
2023-2025,72,81,-9,1.48,-0.1,46.6,32.6
2024-2026,317,75,242,1.67,2.5,46.6,71.1
