Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,28,12,16,1.39,0.1,37.6,355.2
2017-2019,26,26,0,1.38,0.0,37.6,432.1
2018-2020,-19,24,-43,0.87,-0.3,37.6,647.0
2019-2021,6,66,-61,0.76,-0.7,42.8,524.7
2020-2022,-33,7,-41,0.76,-0.1,67.5,381.2
2021-2023,-142,22,-164,0.9,-0.3,67.5,340.1
2022-2024,-18,35,-53,0.86,-0.0,55.0,478.6
2023-2025,67,81,-14,0.72,-0.0,24.0,689.0
2024-2026,65,71,-6,0.68,-0.0,35.9,553.0
