Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,18,12,6,1.32,0.0,31.4,11.4
2017-2019,-17,26,-43,1.14,-0.2,31.4,14.6
2018-2020,-32,24,-56,1.41,-0.1,54.6,13.7
2019-2021,55,66,-11,1.48,-0.0,54.6,18.6
2020-2022,47,7,39,1.35,0.1,53.9,18.3
2021-2023,11,22,-12,1.14,-0.1,35.7,16.5
2022-2024,2,35,-33,1.07,-0.3,35.7,20.0
2023-2025,29,81,-52,1.19,-0.4,35.7,23.1
2024-2026,89,75,14,0.99,0.2,30.0,26.1
