Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,15,12,3,0.95,0.0,16.4,25.1
2017-2019,27,26,1,1.05,0.0,16.4,33.6
2018-2020,24,24,0,1.04,-0.0,35.7,40.5
2019-2021,82,66,15,1.09,0.1,35.7,54.2
2020-2022,40,7,33,1.08,0.1,33.6,47.2
2021-2023,57,22,34,1.11,0.5,25.5,61.5
2022-2024,96,35,61,1.15,1.0,19.6,86.2
2023-2025,330,81,250,1.32,5.8,23.8,167.6
2024-2026,255,47,208,1.49,5.7,23.8,158.5
