Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,61,12,49,1.2,0.3,19.4,9.6
2017-2019,102,26,76,1.05,1.2,19.4,16.1
2018-2020,65,24,41,1.06,0.7,48.4,18.1
2019-2021,64,66,-2,1.06,-0.0,48.4,20.2
2020-2022,-41,7,-48,1.04,-0.8,48.4,18.5
2021-2023,-3,22,-25,0.96,-0.5,29.5,20.7
2022-2024,-20,35,-54,0.9,-1.0,29.5,21.5
2023-2025,3,81,-78,0.83,-1.8,18.1,23.6
2024-2026,73,52,21,0.8,0.5,18.1,30.4
