Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2018-2020,28,24,4,1.1,0.0,49.1,17.4
2019-2021,110,66,44,1.08,0.0,49.1,23.6
2020-2022,26,7,19,1.09,0.1,49.1,19.9
2021-2023,70,22,47,1.16,0.6,31.2,29.5
2022-2024,54,35,19,1.16,0.2,25.8,34.5
2023-2025,24,81,-57,1.23,-1.1,35.3,30.2
2024-2026,-36,75,-111,1.25,-2.2,35.3,30.5
