Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,31,12,19,1.41,0.0,23.2,9.8
2017-2019,-8,26,-34,1.32,-0.3,23.2,11.8
2018-2020,-12,24,-36,1.29,-0.1,44.7,12.7
2019-2021,86,66,20,1.29,0.1,44.7,19.9
2020-2022,76,7,69,1.22,0.2,44.7,21.2
2021-2023,71,22,48,1.1,0.8,28.3,22.1
2022-2024,73,35,38,1.03,0.7,28.3,30.8
2023-2025,62,81,-19,1.0,-0.4,27.4,31.9
2024-2026,35,47,-12,0.99,-0.3,27.4,28.2
