Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,25,12,13,0.76,0.1,12.0,22.5
2017-2019,30,26,5,0.71,0.1,13.1,26.1
2018-2020,-8,24,-32,1.11,-0.1,51.4,22.0
2019-2021,22,66,-44,1.17,-0.2,51.4,28.9
2020-2022,48,7,41,1.05,0.2,51.4,35.6
2021-2023,81,22,58,0.71,0.9,18.5,40.8
2022-2024,78,35,44,0.6,0.7,18.5,51.1
2023-2025,62,81,-19,0.5,-0.5,15.3,54.5
2024-2026,53,75,-22,0.31,-0.7,12.0,58.4
