Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,10,12,-2,1.01,-0.0,17.4,15.7
2017-2019,37,26,12,1.12,0.0,17.4,22.1
2018-2020,68,24,44,0.96,0.1,26.7,29.3
2019-2021,105,66,39,0.95,0.5,26.7,38.4
2020-2022,23,7,15,0.9,0.2,26.7,28.4
2021-2023,43,22,21,0.89,0.4,25.9,38.8
2022-2024,31,35,-4,0.87,-0.1,23.1,43.1
2023-2025,83,81,2,0.74,0.1,21.2,48.1
2024-2026,51,71,-21,0.68,-0.5,21.2,54.0
