Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,41,12,29,0.73,0.1,15.3,181.9
2017-2019,48,26,22,0.66,0.1,15.3,216.5
2018-2020,39,24,15,0.68,0.1,23.7,194.8
2019-2021,8,66,-58,0.64,-0.8,23.7,191.2
2020-2022,49,7,42,0.53,0.5,21.6,276.8
2021-2023,54,22,31,0.27,0.4,19.3,272.0
2022-2024,17,35,-18,0.26,-0.4,25.2,248.2
2023-2025,-15,81,-95,0.31,-1.5,39.9,262.6
2024-2026,33,76,-44,0.28,-0.6,39.9,368.7
