Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,16,12,4,1.22,0.0,24.7,59.8
2017-2019,64,26,39,1.19,0.0,26.8,92.6
2018-2020,133,24,109,1.16,0.1,34.1,160.0
2019-2021,196,66,129,1.21,0.1,34.1,192.0
2020-2022,8,7,1,1.3,0.0,40.7,115.4
2021-2023,-58,22,-81,1.53,-1.0,40.7,151.9
2022-2024,-64,35,-99,1.59,-1.4,40.7,161.3
2023-2025,30,81,-51,1.62,-0.9,41.9,179.6
2024-2026,-3,78,-80,1.75,-0.9,41.9,170.8
