Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,20,12,8,1.18,0.0,27.5,7.3
2017-2019,-4,26,-30,1.11,-0.1,27.5,9.8
2018-2020,9,24,-15,0.97,-0.0,28.7,12.1
2019-2021,50,66,-17,0.89,-0.1,28.7,11.9
2020-2022,42,7,35,0.83,0.2,29.2,11.2
2021-2023,38,22,15,0.73,0.2,29.2,14.3
2022-2024,93,35,58,0.73,0.9,29.2,19.8
2023-2025,73,81,-8,0.77,-0.2,25.7,18.1
2024-2026,47,47,0,0.74,0.0,25.7,18.4
