Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-65,12,-77,1.2,-0.1,48.0,1.1
2017-2019,9,26,-17,0.99,-0.0,48.0,1.9
2018-2020,50,24,26,1.11,0.0,48.0,2.5
2019-2021,117,66,50,1.14,0.0,44.8,3.5
2020-2022,190,7,183,1.24,0.3,44.8,6.5
2021-2023,851,22,828,1.5,6.5,34.4,22.5
2022-2024,781,35,746,1.83,5.3,84.8,24.1
2023-2025,550,81,469,2.38,3.6,84.8,23.2
2024-2026,-1139,71,-1210,2.77,-11.8,84.8,20.2
