Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-7,12,-19,1.22,-0.0,34.9,38.1
2017-2019,-31,26,-56,1.29,-0.1,34.9,35.7
2018-2020,10,24,-14,1.15,-0.0,42.5,61.3
2019-2021,55,66,-11,1.11,-0.0,42.5,61.0
2020-2022,20,7,12,1.06,0.0,44.2,40.9
2021-2023,13,22,-10,1.02,-0.0,44.2,59.7
2022-2024,26,35,-9,0.96,-0.0,39.1,66.4
2023-2025,56,81,-25,0.97,-0.3,32.5,68.2
2024-2026,66,52,14,0.91,0.2,32.5,85.3
