Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,67,12,55,1.47,0.1,17.9,42.4
2017-2019,72,26,47,1.25,0.1,17.9,56.0
2018-2020,4,24,-20,0.92,-0.2,29.8,60.5
2019-2021,-15,66,-82,0.8,-0.9,31.7,56.2
2020-2022,5,7,-2,0.73,-0.0,31.7,73.9
2021-2023,78,22,55,0.61,0.8,18.6,104.1
2022-2024,58,35,23,0.64,0.5,23.0,103.0
2023-2025,31,81,-50,0.54,-1.1,27.3,116.0
2024-2026,19,75,-57,0.51,-1.2,27.3,140.1
