Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,33,12,21,1.28,0.1,24.3,4.2
2017-2019,126,26,100,1.22,1.1,24.3,8.3
2018-2020,143,24,120,1.34,1.6,50.4,11.3
2019-2021,55,66,-12,1.36,-0.2,50.4,9.6
2020-2022,24,7,17,1.34,0.2,50.4,13.3
2021-2023,238,22,216,1.23,3.2,35.8,25.9
2022-2024,508,35,473,1.22,8.1,33.5,44.2
2023-2025,282,81,201,1.06,4.8,44.2,37.6
2024-2026,-87,47,-134,1.09,-3.0,53.0,26.7
