Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2022-2024,161,35,126,2.97,0.4,66.9,68.8
2023-2025,130,81,49,2.66,0.1,54.0,62.6
2024-2026,3,75,-72,2.58,-0.3,64.5,49.7
