Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,3,12,-9,0.95,-0.0,19.6,71.0
2017-2019,6,26,-20,0.86,-0.0,19.6,92.1
2018-2020,-14,24,-38,1.16,-0.0,49.4,72.4
2019-2021,20,66,-47,1.22,-0.0,49.4,87.3
2020-2022,-12,7,-20,1.11,-0.0,46.5,67.8
2021-2023,10,22,-13,0.99,-0.0,42.5,67.2
2022-2024,-6,35,-41,0.99,-0.0,39.7,74.3
2023-2025,30,81,-51,1.21,-0.1,39.2,82.9
2024-2026,40,52,-12,1.04,-0.1,27.4,81.2
