Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,5,7,-3,1.35,-0.0,80.0,15.9
2021-2023,-111,22,-133,2.58,-0.3,80.0,29.2
2022-2024,-39,35,-74,2.55,-0.2,68.0,37.8
2023-2025,228,81,147,1.98,0.4,44.3,69.2
2024-2026,294,75,218,1.66,2.3,44.3,98.5
