Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,24,12,12,1.16,0.0,23.4,24.1
2017-2019,3,26,-23,1.06,-0.1,23.3,30.5
2018-2020,-19,24,-43,1.18,-0.1,51.4,25.5
2019-2021,33,66,-34,1.24,-0.1,51.4,31.1
2020-2022,21,7,13,1.16,0.0,48.6,28.5
2021-2023,15,22,-8,1.1,-0.0,36.2,25.7
2022-2024,43,35,8,1.05,0.0,36.2,32.9
2023-2025,45,81,-36,1.22,-0.2,36.2,35.0
2024-2026,49,77,-28,1.07,-0.5,28.3,35.1
