Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2021-2023,1808,22,1785,2.15,7.0,96.1,59.0
2022-2024,-752,35,-787,2.04,-4.5,92.7,110.0
2023-2025,1113,81,1032,1.58,9.6,59.6,72.3
2024-2026,-955,70,-1026,1.71,-12.7,75.9,48.0
