Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,21,12,9,1.58,0.0,32.5,16.5
2017-2019,91,26,65,1.67,0.4,32.5,35.5
2018-2020,150,24,126,1.54,0.8,44.5,57.3
2019-2021,296,66,230,1.58,3.3,44.5,87.3
2020-2022,9,7,1,1.63,0.0,54.5,51.0
2021-2023,75,22,52,1.8,0.9,54.5,95.1
2022-2024,-10,35,-44,1.85,-0.7,45.9,87.7
2023-2025,485,81,404,1.97,8.1,45.9,207.7
2024-2026,846,76,769,2.33,12.3,45.9,365.9
