Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,28,12,16,0.93,0.0,32.1,5.4
2017-2019,65,26,39,1.08,0.1,32.1,8.2
2018-2020,89,24,65,0.79,0.6,32.1,11.8
2019-2021,173,66,106,0.8,1.7,25.3,19.3
2020-2022,30,7,22,0.9,0.3,44.1,12.4
2021-2023,-57,22,-79,1.21,-0.8,54.0,11.5
2022-2024,-81,35,-116,1.17,-1.0,46.7,10.8
2023-2025,-60,81,-141,1.13,-0.3,40.1,8.8
