Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-4,12,-16,1.04,-0.0,37.5,11.9
2017-2019,-15,26,-40,1.01,-0.0,37.5,13.1
2018-2020,-6,24,-30,1.1,-0.0,48.5,12.4
2019-2021,38,66,-29,1.14,-0.0,48.5,15.6
2020-2022,37,7,30,1.09,0.1,48.5,16.9
2021-2023,63,22,41,1.01,0.1,16.1,21.4
2022-2024,114,35,79,0.97,0.5,16.1,32.0
2023-2025,112,81,31,1.04,0.4,22.4,36.0
2024-2026,165,80,85,1.06,2.4,22.4,50.3
