Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,51,12,39,1.3,0.0,24.8,76.5
2017-2019,22,26,-3,1.07,-0.0,24.8,79.7
2018-2020,-37,24,-61,1.38,-0.1,64.3,49.0
2019-2021,32,66,-35,1.42,-0.0,64.3,88.5
2020-2022,160,7,153,1.22,0.1,61.0,144.7
2021-2023,170,22,148,0.76,0.2,32.6,142.3
2022-2024,8,35,-26,0.59,-0.5,32.6,121.6
2023-2025,-80,81,-161,0.74,-4.5,29.8,114.8
2024-2026,42,42,-1,0.69,-0.0,29.8,163.4
