Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,32,12,20,1.38,0.1,21.9,179.7
2017-2019,14,26,-12,1.22,-0.1,21.9,256.9
2018-2020,-33,24,-56,1.33,-0.2,47.2,221.1
2019-2021,55,66,-11,1.33,-0.0,47.2,324.5
2020-2022,-10,7,-18,1.23,-0.1,46.9,241.6
2021-2023,7,22,-16,1.0,-0.1,37.0,245.6
2022-2024,-10,35,-45,0.98,-0.3,37.0,320.6
2023-2025,90,81,9,1.02,0.1,25.9,401.2
2024-2026,58,47,11,0.98,0.2,25.9,341.6
