Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,11,12,-1,1.31,-0.0,34.5,19.5
2017-2019,22,26,-4,1.52,-0.0,34.5,28.3
2018-2020,36,24,12,1.47,0.0,48.5,37.4
2019-2021,101,66,34,1.56,0.1,48.5,47.1
2020-2022,33,7,26,1.55,0.1,48.5,38.0
2021-2023,31,22,8,1.68,0.1,32.5,48.8
2022-2024,-61,35,-96,1.63,-1.0,40.7,31.0
2023-2025,-38,81,-119,1.96,-0.5,60.9,34.5
2024-2026,-48,52,-100,2.04,-0.4,60.9,35.6
