Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,26,12,14,1.06,0.0,19.8,9.6
2017-2019,-14,26,-40,1.11,-0.1,22.2,8.2
2018-2020,11,24,-13,0.85,-0.0,33.6,10.4
2019-2021,51,66,-16,0.84,-0.0,33.6,14.4
2020-2022,9,7,1,0.9,0.0,39.0,8.5
2021-2023,-23,22,-45,1.12,-0.0,39.0,10.6
2022-2024,22,35,-13,1.1,-0.0,31.8,14.8
2023-2025,60,81,-20,1.04,-0.0,34.4,15.1
2024-2026,52,47,5,1.07,0.0,34.4,16.6
