Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,2,12,-10,1.0,-0.0,24.4,67.6
2017-2019,-14,26,-39,0.96,-0.1,24.4,69.7
2018-2020,-74,24,-98,1.76,-0.0,81.7,29.7
2019-2021,-46,66,-113,1.9,-0.1,81.7,27.6
2020-2022,-55,7,-63,2.0,-0.5,79.0,11.1
2021-2023,28,22,6,1.96,0.1,68.1,25.4
2022-2024,52,35,17,1.98,0.0,64.1,34.2
2023-2025,94,81,13,1.84,0.0,40.8,41.9
2024-2026,56,72,-16,1.84,-0.0,40.8,39.2
