Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,22,12,10,1.21,0.0,19.2,109.9
2017-2019,38,26,12,1.25,0.2,19.2,151.5
2018-2020,66,24,42,1.05,0.6,27.5,223.5
2019-2021,110,66,44,1.03,0.8,27.5,283.4
2020-2022,-5,7,-13,1.09,-0.2,30.4,189.7
2021-2023,13,22,-9,1.28,-0.2,30.4,291.7
2022-2024,40,35,6,1.3,0.1,25.9,364.2
2023-2025,124,81,43,1.27,1.5,22.2,437.6
2024-2026,92,71,21,1.3,0.7,22.2,490.1
