Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,37,12,25,1.17,0.0,20.7,50.1
2017-2019,72,26,46,1.06,0.7,20.7,80.5
2018-2020,52,24,28,1.1,0.4,37.4,96.9
2019-2021,121,66,54,1.09,1.1,37.4,139.1
2020-2022,-22,7,-29,1.05,-0.5,37.4,98.7
2021-2023,27,22,5,1.01,0.1,35.7,129.9
2022-2024,5,35,-30,0.95,-0.5,27.9,146.8
2023-2025,38,81,-43,0.86,-1.1,18.6,154.1
2024-2026,-45,78,-123,0.68,-3.8,28.9,120.3
