Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,26,12,14,1.01,0.0,36.3,11.0
2017-2019,48,26,23,1.15,0.2,36.3,18.3
2018-2020,11,24,-13,1.14,-0.1,43.5,20.8
2019-2021,54,66,-12,1.14,-0.1,43.5,21.1
2020-2022,-29,7,-36,1.15,-0.2,48.5,16.7
2021-2023,-66,22,-89,1.16,-0.6,48.5,16.3
2022-2024,-22,35,-56,1.08,-0.4,37.9,17.9
2023-2025,-33,81,-114,1.19,-1.1,42.0,13.9
2024-2026,-13,42,-55,1.16,-0.5,42.0,13.2
