Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,14,12,2,0.38,0.0,10.3,15.3
2017-2019,42,26,16,0.29,0.2,10.3,18.5
2018-2020,18,24,-6,0.69,-0.1,31.1,15.8
2019-2021,17,66,-50,0.73,-0.5,31.1,17.3
2020-2022,4,7,-4,0.7,-0.0,31.1,18.5
2021-2023,46,22,24,0.48,0.2,17.1,19.2
2022-2024,51,35,16,0.47,0.3,17.1,23.0
2023-2025,69,81,-12,0.27,-0.4,14.1,27.7
2024-2026,91,52,39,0.18,1.3,9.9,30.5
