Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,20,12,8,0.74,0.0,16.2,23.1
2017-2019,66,26,40,0.74,0.0,16.2,32.8
2018-2020,38,24,14,0.82,0.2,33.4,38.6
2019-2021,39,66,-27,0.8,-0.4,33.4,35.4
2020-2022,-22,7,-30,0.76,-0.4,33.4,31.9
2021-2023,-42,22,-64,0.67,-1.0,22.8,27.7
2022-2024,-63,35,-98,0.59,-0.1,34.3,18.4
2023-2025,-77,81,-158,0.55,-0.1,50.6,12.7
2024-2026,-51,42,-93,0.39,-0.0,46.7,12.5
