Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,11,12,-1,0.75,-0.0,18.2,99.4
2017-2019,61,26,36,0.62,0.0,13.7,124.9
2018-2020,38,24,15,0.57,0.1,23.6,150.7
2019-2021,144,66,77,0.57,0.8,23.6,241.7
2020-2022,148,7,140,0.56,3.2,23.6,292.0
2021-2023,259,22,236,0.54,6.0,20.0,446.4
2022-2024,106,35,71,0.53,1.8,40.8,371.2
2023-2025,-109,81,-190,0.73,-3.3,67.0,219.6
2024-2026,-286,71,-357,0.91,-4.1,73.3,213.1
