Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-13,12,-25,1.01,-0.0,20.5,30.5
2017-2019,-2,26,-28,0.93,-0.0,20.5,37.1
2018-2020,5,24,-19,1.05,-0.0,55.2,35.1
2019-2021,142,66,75,1.11,0.1,55.2,82.9
2020-2022,31,7,24,1.22,0.0,55.2,46.4
2021-2023,34,22,12,1.4,0.1,53.1,48.6
2022-2024,-96,35,-130,1.38,-0.8,44.0,39.5
2023-2025,37,81,-44,1.06,-0.5,34.3,52.3
2024-2026,24,52,-28,0.96,-0.4,32.8,48.3
