Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,53,12,40,1.04,0.0,21.5,10.8
2017-2019,113,26,88,1.07,1.3,21.5,19.0
2018-2020,48,24,24,1.15,0.4,43.6,17.5
2019-2021,129,66,62,1.21,1.0,43.6,27.2
2020-2022,15,7,8,1.18,0.1,41.6,23.7
2021-2023,75,22,52,1.11,1.1,22.9,30.2
2022-2024,-59,35,-94,1.04,-2.0,30.4,23.1
2023-2025,-96,81,-177,1.06,-3.7,40.4,18.1
2024-2026,-124,75,-199,0.99,-2.9,54.8,17.6
