Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,15,12,3,1.28,0.0,22.9,19.3
2017-2019,53,26,27,1.28,0.1,22.9,25.5
2018-2020,30,24,6,1.2,0.1,35.7,31.7
2019-2021,107,66,40,1.21,0.4,35.7,41.2
2020-2022,-39,7,-46,1.27,-0.4,49.5,22.8
2021-2023,-64,22,-86,1.46,-0.4,49.5,22.6
2022-2024,-33,35,-68,1.42,-0.3,31.8,23.7
2023-2025,7,81,-74,1.28,-0.3,28.8,21.4
2024-2026,32,71,-40,1.13,-0.4,28.8,24.6
