Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-24,12,-36,0.94,-0.0,20.4,17.2
2017-2019,-19,26,-45,0.76,-0.0,36.2,13.4
2018-2020,-34,24,-58,0.75,-0.0,36.2,12.6
2019-2021,-4,66,-71,0.72,-0.1,36.2,14.7
2020-2022,84,7,76,0.71,0.1,29.3,19.0
2021-2023,64,22,41,0.7,0.0,29.3,19.7
2022-2024,34,35,-1,0.69,-0.0,29.3,19.7
2023-2025,7,81,-74,0.73,-1.2,22.1,20.3
2024-2026,48,47,1,0.62,0.0,22.1,25.8
