Year,Return,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2017-2019,-7,26,-33,1.11,-0.2,31.1,16.9
2018-2020,51,24,27,1.06,0.1,49.2,24.1
2019-2021,102,66,36,1.09,0.1,49.2,36.4
2020-2022,39,7,32,1.1,0.1,44.6,26.1
2021-2023,119,22,96,1.14,1.3,39.9,49.6
2022-2024,166,35,132,1.33,1.8,50.4,74.8
2023-2025,248,81,167,1.73,2.9,58.4,81.7
2024-2026,1023,75,949,2.01,10.6,58.4,282.1
